postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/6927_0000.tif,web/6927_0000_web.jpg,thumb/6927_0000_thumb.jpg
2,Inside front cover,master/6927_0001.tif,web/6927_0001_web.jpg,thumb/6927_0001_thumb.jpg
3,Flyleaf 1 recto,master/6927_0002.tif,web/6927_0002_web.jpg,thumb/6927_0002_thumb.jpg
4,Flyleaf 1 verso,master/6927_0003.tif,web/6927_0003_web.jpg,thumb/6927_0003_thumb.jpg
5,Flyleaf 2 recto,master/6927_0004.tif,web/6927_0004_web.jpg,thumb/6927_0004_thumb.jpg
6,Flyleaf 2 verso,master/6927_0005.tif,web/6927_0005_web.jpg,thumb/6927_0005_thumb.jpg
7,Flyleaf 3 recto,master/6927_0006.tif,web/6927_0006_web.jpg,thumb/6927_0006_thumb.jpg
8,Flyleaf 3 verso,master/6927_0007.tif,web/6927_0007_web.jpg,thumb/6927_0007_thumb.jpg
9,Flyleaf 4 recto,master/6927_0008.tif,web/6927_0008_web.jpg,thumb/6927_0008_thumb.jpg
10,Flyleaf 4 verso,master/6927_0009.tif,web/6927_0009_web.jpg,thumb/6927_0009_thumb.jpg
11,Flyleaf 5 recto,master/6927_0010.tif,web/6927_0010_web.jpg,thumb/6927_0010_thumb.jpg
12,Flyleaf 5 verso,master/6927_0011.tif,web/6927_0011_web.jpg,thumb/6927_0011_thumb.jpg
13,Flyleaf 6 recto,master/6927_0012.tif,web/6927_0012_web.jpg,thumb/6927_0012_thumb.jpg
14,Flyleaf 6 verso,master/6927_0013.tif,web/6927_0013_web.jpg,thumb/6927_0013_thumb.jpg
15,Flyleaf 7 recto,master/6927_0014.tif,web/6927_0014_web.jpg,thumb/6927_0014_thumb.jpg
16,Flyleaf 7 verso,master/6927_0015.tif,web/6927_0015_web.jpg,thumb/6927_0015_thumb.jpg
17,1r,master/6927_0016.tif,web/6927_0016_web.jpg,thumb/6927_0016_thumb.jpg
18,1v,master/6927_0017.tif,web/6927_0017_web.jpg,thumb/6927_0017_thumb.jpg
19,Insert recto,master/6927_0018.tif,web/6927_0018_web.jpg,thumb/6927_0018_thumb.jpg
20,Insert verso,master/6927_0019.tif,web/6927_0019_web.jpg,thumb/6927_0019_thumb.jpg
21,2r,master/6927_0020.tif,web/6927_0020_web.jpg,thumb/6927_0020_thumb.jpg
22,2v,master/6927_0021.tif,web/6927_0021_web.jpg,thumb/6927_0021_thumb.jpg
23,3r,master/6927_0022.tif,web/6927_0022_web.jpg,thumb/6927_0022_thumb.jpg
24,3v,master/6927_0023.tif,web/6927_0023_web.jpg,thumb/6927_0023_thumb.jpg
25,4r,master/6927_0024.tif,web/6927_0024_web.jpg,thumb/6927_0024_thumb.jpg
26,4v,master/6927_0025.tif,web/6927_0025_web.jpg,thumb/6927_0025_thumb.jpg
27,5r,master/6927_0026.tif,web/6927_0026_web.jpg,thumb/6927_0026_thumb.jpg
28,5v,master/6927_0027.tif,web/6927_0027_web.jpg,thumb/6927_0027_thumb.jpg
29,6r,master/6927_0028.tif,web/6927_0028_web.jpg,thumb/6927_0028_thumb.jpg
30,6v,master/6927_0029.tif,web/6927_0029_web.jpg,thumb/6927_0029_thumb.jpg
31,7r,master/6927_0030.tif,web/6927_0030_web.jpg,thumb/6927_0030_thumb.jpg
32,7v,master/6927_0031.tif,web/6927_0031_web.jpg,thumb/6927_0031_thumb.jpg
33,8r,master/6927_0032.tif,web/6927_0032_web.jpg,thumb/6927_0032_thumb.jpg
34,8v,master/6927_0033.tif,web/6927_0033_web.jpg,thumb/6927_0033_thumb.jpg
35,9r,master/6927_0034.tif,web/6927_0034_web.jpg,thumb/6927_0034_thumb.jpg
36,9v,master/6927_0035.tif,web/6927_0035_web.jpg,thumb/6927_0035_thumb.jpg
37,10r,master/6927_0036.tif,web/6927_0036_web.jpg,thumb/6927_0036_thumb.jpg
38,10v,master/6927_0037.tif,web/6927_0037_web.jpg,thumb/6927_0037_thumb.jpg
39,11r,master/6927_0038.tif,web/6927_0038_web.jpg,thumb/6927_0038_thumb.jpg
40,11v,master/6927_0039.tif,web/6927_0039_web.jpg,thumb/6927_0039_thumb.jpg
41,12r,master/6927_0040.tif,web/6927_0040_web.jpg,thumb/6927_0040_thumb.jpg
42,12v,master/6927_0041.tif,web/6927_0041_web.jpg,thumb/6927_0041_thumb.jpg
43,13r,master/6927_0042.tif,web/6927_0042_web.jpg,thumb/6927_0042_thumb.jpg
44,13v,master/6927_0043.tif,web/6927_0043_web.jpg,thumb/6927_0043_thumb.jpg
45,14r,master/6927_0044.tif,web/6927_0044_web.jpg,thumb/6927_0044_thumb.jpg
46,14v,master/6927_0045.tif,web/6927_0045_web.jpg,thumb/6927_0045_thumb.jpg
47,15r,master/6927_0046.tif,web/6927_0046_web.jpg,thumb/6927_0046_thumb.jpg
48,15v,master/6927_0047.tif,web/6927_0047_web.jpg,thumb/6927_0047_thumb.jpg
49,16r,master/6927_0048.tif,web/6927_0048_web.jpg,thumb/6927_0048_thumb.jpg
50,16v,master/6927_0049.tif,web/6927_0049_web.jpg,thumb/6927_0049_thumb.jpg
51,17r,master/6927_0050.tif,web/6927_0050_web.jpg,thumb/6927_0050_thumb.jpg
52,17v,master/6927_0051.tif,web/6927_0051_web.jpg,thumb/6927_0051_thumb.jpg
53,18r,master/6927_0052.tif,web/6927_0052_web.jpg,thumb/6927_0052_thumb.jpg
54,18v,master/6927_0053.tif,web/6927_0053_web.jpg,thumb/6927_0053_thumb.jpg
55,19r,master/6927_0054.tif,web/6927_0054_web.jpg,thumb/6927_0054_thumb.jpg
56,19v,master/6927_0055.tif,web/6927_0055_web.jpg,thumb/6927_0055_thumb.jpg
57,20r,master/6927_0056.tif,web/6927_0056_web.jpg,thumb/6927_0056_thumb.jpg
58,20v,master/6927_0057.tif,web/6927_0057_web.jpg,thumb/6927_0057_thumb.jpg
59,21r,master/6927_0058.tif,web/6927_0058_web.jpg,thumb/6927_0058_thumb.jpg
60,21v,master/6927_0059.tif,web/6927_0059_web.jpg,thumb/6927_0059_thumb.jpg
61,22r,master/6927_0060.tif,web/6927_0060_web.jpg,thumb/6927_0060_thumb.jpg
62,22v,master/6927_0061.tif,web/6927_0061_web.jpg,thumb/6927_0061_thumb.jpg
63,23r,master/6927_0062.tif,web/6927_0062_web.jpg,thumb/6927_0062_thumb.jpg
64,23v,master/6927_0063.tif,web/6927_0063_web.jpg,thumb/6927_0063_thumb.jpg
65,24r,master/6927_0064.tif,web/6927_0064_web.jpg,thumb/6927_0064_thumb.jpg
66,24v,master/6927_0065.tif,web/6927_0065_web.jpg,thumb/6927_0065_thumb.jpg
67,25r,master/6927_0066.tif,web/6927_0066_web.jpg,thumb/6927_0066_thumb.jpg
68,25v,master/6927_0067.tif,web/6927_0067_web.jpg,thumb/6927_0067_thumb.jpg
69,26r,master/6927_0068.tif,web/6927_0068_web.jpg,thumb/6927_0068_thumb.jpg
70,26v,master/6927_0069.tif,web/6927_0069_web.jpg,thumb/6927_0069_thumb.jpg
71,27r,master/6927_0070.tif,web/6927_0070_web.jpg,thumb/6927_0070_thumb.jpg
72,27v,master/6927_0071.tif,web/6927_0071_web.jpg,thumb/6927_0071_thumb.jpg
73,28r,master/6927_0072.tif,web/6927_0072_web.jpg,thumb/6927_0072_thumb.jpg
74,28v,master/6927_0073.tif,web/6927_0073_web.jpg,thumb/6927_0073_thumb.jpg
75,29r,master/6927_0074.tif,web/6927_0074_web.jpg,thumb/6927_0074_thumb.jpg
76,29v,master/6927_0075.tif,web/6927_0075_web.jpg,thumb/6927_0075_thumb.jpg
77,30r,master/6927_0076.tif,web/6927_0076_web.jpg,thumb/6927_0076_thumb.jpg
78,30v,master/6927_0077.tif,web/6927_0077_web.jpg,thumb/6927_0077_thumb.jpg
79,31r,master/6927_0078.tif,web/6927_0078_web.jpg,thumb/6927_0078_thumb.jpg
80,31v,master/6927_0079.tif,web/6927_0079_web.jpg,thumb/6927_0079_thumb.jpg
81,32r,master/6927_0080.tif,web/6927_0080_web.jpg,thumb/6927_0080_thumb.jpg
82,32v,master/6927_0081.tif,web/6927_0081_web.jpg,thumb/6927_0081_thumb.jpg
83,33r,master/6927_0082.tif,web/6927_0082_web.jpg,thumb/6927_0082_thumb.jpg
84,33v,master/6927_0083.tif,web/6927_0083_web.jpg,thumb/6927_0083_thumb.jpg
85,34r,master/6927_0084.tif,web/6927_0084_web.jpg,thumb/6927_0084_thumb.jpg
86,34v,master/6927_0085.tif,web/6927_0085_web.jpg,thumb/6927_0085_thumb.jpg
87,35r,master/6927_0086.tif,web/6927_0086_web.jpg,thumb/6927_0086_thumb.jpg
88,35v,master/6927_0087.tif,web/6927_0087_web.jpg,thumb/6927_0087_thumb.jpg
89,36r,master/6927_0088.tif,web/6927_0088_web.jpg,thumb/6927_0088_thumb.jpg
90,36v,master/6927_0089.tif,web/6927_0089_web.jpg,thumb/6927_0089_thumb.jpg
91,37r,master/6927_0090.tif,web/6927_0090_web.jpg,thumb/6927_0090_thumb.jpg
92,37v,master/6927_0091.tif,web/6927_0091_web.jpg,thumb/6927_0091_thumb.jpg
93,38r,master/6927_0092.tif,web/6927_0092_web.jpg,thumb/6927_0092_thumb.jpg
94,38v,master/6927_0093.tif,web/6927_0093_web.jpg,thumb/6927_0093_thumb.jpg
95,39r,master/6927_0094.tif,web/6927_0094_web.jpg,thumb/6927_0094_thumb.jpg
96,39v,master/6927_0095.tif,web/6927_0095_web.jpg,thumb/6927_0095_thumb.jpg
97,40r,master/6927_0096.tif,web/6927_0096_web.jpg,thumb/6927_0096_thumb.jpg
98,40v,master/6927_0097.tif,web/6927_0097_web.jpg,thumb/6927_0097_thumb.jpg
99,41r,master/6927_0098.tif,web/6927_0098_web.jpg,thumb/6927_0098_thumb.jpg
100,41v,master/6927_0099.tif,web/6927_0099_web.jpg,thumb/6927_0099_thumb.jpg
101,42r,master/6927_0100.tif,web/6927_0100_web.jpg,thumb/6927_0100_thumb.jpg
102,42v,master/6927_0101.tif,web/6927_0101_web.jpg,thumb/6927_0101_thumb.jpg
103,43r,master/6927_0102.tif,web/6927_0102_web.jpg,thumb/6927_0102_thumb.jpg
104,43v,master/6927_0103.tif,web/6927_0103_web.jpg,thumb/6927_0103_thumb.jpg
105,44r,master/6927_0104.tif,web/6927_0104_web.jpg,thumb/6927_0104_thumb.jpg
106,44v,master/6927_0105.tif,web/6927_0105_web.jpg,thumb/6927_0105_thumb.jpg
107,45r,master/6927_0106.tif,web/6927_0106_web.jpg,thumb/6927_0106_thumb.jpg
108,45v,master/6927_0107.tif,web/6927_0107_web.jpg,thumb/6927_0107_thumb.jpg
109,46r,master/6927_0108.tif,web/6927_0108_web.jpg,thumb/6927_0108_thumb.jpg
110,46v,master/6927_0109.tif,web/6927_0109_web.jpg,thumb/6927_0109_thumb.jpg
111,47r,master/6927_0110.tif,web/6927_0110_web.jpg,thumb/6927_0110_thumb.jpg
112,47v,master/6927_0111.tif,web/6927_0111_web.jpg,thumb/6927_0111_thumb.jpg
113,48r,master/6927_0112.tif,web/6927_0112_web.jpg,thumb/6927_0112_thumb.jpg
114,48v,master/6927_0113.tif,web/6927_0113_web.jpg,thumb/6927_0113_thumb.jpg
115,49r,master/6927_0114.tif,web/6927_0114_web.jpg,thumb/6927_0114_thumb.jpg
116,49v,master/6927_0115.tif,web/6927_0115_web.jpg,thumb/6927_0115_thumb.jpg
117,50r,master/6927_0116.tif,web/6927_0116_web.jpg,thumb/6927_0116_thumb.jpg
118,50v,master/6927_0117.tif,web/6927_0117_web.jpg,thumb/6927_0117_thumb.jpg
119,51r,master/6927_0118.tif,web/6927_0118_web.jpg,thumb/6927_0118_thumb.jpg
120,51v,master/6927_0119.tif,web/6927_0119_web.jpg,thumb/6927_0119_thumb.jpg
121,52r,master/6927_0120.tif,web/6927_0120_web.jpg,thumb/6927_0120_thumb.jpg
122,52v,master/6927_0121.tif,web/6927_0121_web.jpg,thumb/6927_0121_thumb.jpg
123,53r,master/6927_0122.tif,web/6927_0122_web.jpg,thumb/6927_0122_thumb.jpg
124,53v,master/6927_0123.tif,web/6927_0123_web.jpg,thumb/6927_0123_thumb.jpg
125,54r,master/6927_0124.tif,web/6927_0124_web.jpg,thumb/6927_0124_thumb.jpg
126,54v,master/6927_0125.tif,web/6927_0125_web.jpg,thumb/6927_0125_thumb.jpg
127,55r,master/6927_0126.tif,web/6927_0126_web.jpg,thumb/6927_0126_thumb.jpg
128,55v,master/6927_0127.tif,web/6927_0127_web.jpg,thumb/6927_0127_thumb.jpg
129,56r,master/6927_0128.tif,web/6927_0128_web.jpg,thumb/6927_0128_thumb.jpg
130,56v,master/6927_0129.tif,web/6927_0129_web.jpg,thumb/6927_0129_thumb.jpg
131,57r,master/6927_0130.tif,web/6927_0130_web.jpg,thumb/6927_0130_thumb.jpg
132,57v,master/6927_0131.tif,web/6927_0131_web.jpg,thumb/6927_0131_thumb.jpg
133,58r,master/6927_0132.tif,web/6927_0132_web.jpg,thumb/6927_0132_thumb.jpg
134,58v,master/6927_0133.tif,web/6927_0133_web.jpg,thumb/6927_0133_thumb.jpg
135,59r,master/6927_0134.tif,web/6927_0134_web.jpg,thumb/6927_0134_thumb.jpg
136,59v,master/6927_0135.tif,web/6927_0135_web.jpg,thumb/6927_0135_thumb.jpg
137,60r,master/6927_0136.tif,web/6927_0136_web.jpg,thumb/6927_0136_thumb.jpg
138,60v,master/6927_0137.tif,web/6927_0137_web.jpg,thumb/6927_0137_thumb.jpg
139,61r,master/6927_0138.tif,web/6927_0138_web.jpg,thumb/6927_0138_thumb.jpg
140,61v,master/6927_0139.tif,web/6927_0139_web.jpg,thumb/6927_0139_thumb.jpg
141,62r,master/6927_0140.tif,web/6927_0140_web.jpg,thumb/6927_0140_thumb.jpg
142,62v,master/6927_0141.tif,web/6927_0141_web.jpg,thumb/6927_0141_thumb.jpg
143,63r,master/6927_0142.tif,web/6927_0142_web.jpg,thumb/6927_0142_thumb.jpg
144,63v,master/6927_0143.tif,web/6927_0143_web.jpg,thumb/6927_0143_thumb.jpg
145,64r,master/6927_0144.tif,web/6927_0144_web.jpg,thumb/6927_0144_thumb.jpg
146,64v,master/6927_0145.tif,web/6927_0145_web.jpg,thumb/6927_0145_thumb.jpg
147,65r,master/6927_0146.tif,web/6927_0146_web.jpg,thumb/6927_0146_thumb.jpg
148,65v,master/6927_0147.tif,web/6927_0147_web.jpg,thumb/6927_0147_thumb.jpg
149,66r,master/6927_0148.tif,web/6927_0148_web.jpg,thumb/6927_0148_thumb.jpg
150,66v,master/6927_0149.tif,web/6927_0149_web.jpg,thumb/6927_0149_thumb.jpg
151,67r,master/6927_0150.tif,web/6927_0150_web.jpg,thumb/6927_0150_thumb.jpg
152,67v,master/6927_0151.tif,web/6927_0151_web.jpg,thumb/6927_0151_thumb.jpg
153,68r,master/6927_0152.tif,web/6927_0152_web.jpg,thumb/6927_0152_thumb.jpg
154,68v,master/6927_0153.tif,web/6927_0153_web.jpg,thumb/6927_0153_thumb.jpg
155,69r,master/6927_0154.tif,web/6927_0154_web.jpg,thumb/6927_0154_thumb.jpg
156,69v,master/6927_0155.tif,web/6927_0155_web.jpg,thumb/6927_0155_thumb.jpg
157,70r,master/6927_0156.tif,web/6927_0156_web.jpg,thumb/6927_0156_thumb.jpg
