postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,1r,master/0384_0000.tif,web/0384_0000_web.jpg,thumb/0384_0000_thumb.jpg
2,1v,master/0384_0001.tif,web/0384_0001_web.jpg,thumb/0384_0001_thumb.jpg
3,2r,master/0384_0002.tif,web/0384_0002_web.jpg,thumb/0384_0002_thumb.jpg
4,2v,master/0384_0003.tif,web/0384_0003_web.jpg,thumb/0384_0003_thumb.jpg
5,3r,master/0384_0004.tif,web/0384_0004_web.jpg,thumb/0384_0004_thumb.jpg
6,3v,master/0384_0005.tif,web/0384_0005_web.jpg,thumb/0384_0005_thumb.jpg
7,4r,master/0384_0006.tif,web/0384_0006_web.jpg,thumb/0384_0006_thumb.jpg
8,4v,master/0384_0007.tif,web/0384_0007_web.jpg,thumb/0384_0007_thumb.jpg
9,5r,master/0384_0008.tif,web/0384_0008_web.jpg,thumb/0384_0008_thumb.jpg
10,5v,master/0384_0009.tif,web/0384_0009_web.jpg,thumb/0384_0009_thumb.jpg
11,6r,master/0384_0010.tif,web/0384_0010_web.jpg,thumb/0384_0010_thumb.jpg
12,6v,master/0384_0011.tif,web/0384_0011_web.jpg,thumb/0384_0011_thumb.jpg
13,7r,master/0384_0012.tif,web/0384_0012_web.jpg,thumb/0384_0012_thumb.jpg
14,7v,master/0384_0013.tif,web/0384_0013_web.jpg,thumb/0384_0013_thumb.jpg
15,8r,master/0384_0014.tif,web/0384_0014_web.jpg,thumb/0384_0014_thumb.jpg
16,8v,master/0384_0015.tif,web/0384_0015_web.jpg,thumb/0384_0015_thumb.jpg
17,9r,master/0384_0016.tif,web/0384_0016_web.jpg,thumb/0384_0016_thumb.jpg
18,9v,master/0384_0017.tif,web/0384_0017_web.jpg,thumb/0384_0017_thumb.jpg
19,10r,master/0384_0018.tif,web/0384_0018_web.jpg,thumb/0384_0018_thumb.jpg
20,10v,master/0384_0019.tif,web/0384_0019_web.jpg,thumb/0384_0019_thumb.jpg
21,11r,master/0384_0020.tif,web/0384_0020_web.jpg,thumb/0384_0020_thumb.jpg
22,11v,master/0384_0021.tif,web/0384_0021_web.jpg,thumb/0384_0021_thumb.jpg
23,12r,master/0384_0022.tif,web/0384_0022_web.jpg,thumb/0384_0022_thumb.jpg
24,12v,master/0384_0023.tif,web/0384_0023_web.jpg,thumb/0384_0023_thumb.jpg
25,13r,master/0384_0024.tif,web/0384_0024_web.jpg,thumb/0384_0024_thumb.jpg
26,13v,master/0384_0025.tif,web/0384_0025_web.jpg,thumb/0384_0025_thumb.jpg
27,14r,master/0384_0026.tif,web/0384_0026_web.jpg,thumb/0384_0026_thumb.jpg
28,14v,master/0384_0027.tif,web/0384_0027_web.jpg,thumb/0384_0027_thumb.jpg
29,15r,master/0384_0028.tif,web/0384_0028_web.jpg,thumb/0384_0028_thumb.jpg
30,15v,master/0384_0029.tif,web/0384_0029_web.jpg,thumb/0384_0029_thumb.jpg
31,16r,master/0384_0030.tif,web/0384_0030_web.jpg,thumb/0384_0030_thumb.jpg
32,16v,master/0384_0031.tif,web/0384_0031_web.jpg,thumb/0384_0031_thumb.jpg
33,17r,master/0384_0032.tif,web/0384_0032_web.jpg,thumb/0384_0032_thumb.jpg
34,17v,master/0384_0033.tif,web/0384_0033_web.jpg,thumb/0384_0033_thumb.jpg
35,18r,master/0384_0034.tif,web/0384_0034_web.jpg,thumb/0384_0034_thumb.jpg
36,18v,master/0384_0035.tif,web/0384_0035_web.jpg,thumb/0384_0035_thumb.jpg
37,19r,master/0384_0036.tif,web/0384_0036_web.jpg,thumb/0384_0036_thumb.jpg
38,19v,master/0384_0037.tif,web/0384_0037_web.jpg,thumb/0384_0037_thumb.jpg
39,20r,master/0384_0038.tif,web/0384_0038_web.jpg,thumb/0384_0038_thumb.jpg
40,20v,master/0384_0039.tif,web/0384_0039_web.jpg,thumb/0384_0039_thumb.jpg
41,21r,master/0384_0040.tif,web/0384_0040_web.jpg,thumb/0384_0040_thumb.jpg
42,21v,master/0384_0041.tif,web/0384_0041_web.jpg,thumb/0384_0041_thumb.jpg
43,22r,master/0384_0042.tif,web/0384_0042_web.jpg,thumb/0384_0042_thumb.jpg
44,22v,master/0384_0043.tif,web/0384_0043_web.jpg,thumb/0384_0043_thumb.jpg
45,23r,master/0384_0044.tif,web/0384_0044_web.jpg,thumb/0384_0044_thumb.jpg
46,23v,master/0384_0045.tif,web/0384_0045_web.jpg,thumb/0384_0045_thumb.jpg
47,24r,master/0384_0046.tif,web/0384_0046_web.jpg,thumb/0384_0046_thumb.jpg
48,24v,master/0384_0047.tif,web/0384_0047_web.jpg,thumb/0384_0047_thumb.jpg
49,25r,master/0384_0048.tif,web/0384_0048_web.jpg,thumb/0384_0048_thumb.jpg
50,25v,master/0384_0049.tif,web/0384_0049_web.jpg,thumb/0384_0049_thumb.jpg
51,26r,master/0384_0050.tif,web/0384_0050_web.jpg,thumb/0384_0050_thumb.jpg
52,26v,master/0384_0051.tif,web/0384_0051_web.jpg,thumb/0384_0051_thumb.jpg
53,27r,master/0384_0052.tif,web/0384_0052_web.jpg,thumb/0384_0052_thumb.jpg
54,27v,master/0384_0053.tif,web/0384_0053_web.jpg,thumb/0384_0053_thumb.jpg
