postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/7304_0000.tif,web/7304_0000_web.jpg,thumb/7304_0000_thumb.jpg
2,Inside front cover,master/7304_0001.tif,web/7304_0001_web.jpg,thumb/7304_0001_thumb.jpg
3,1r,master/7304_0002.tif,web/7304_0002_web.jpg,thumb/7304_0002_thumb.jpg
4,1v,master/7304_0003.tif,web/7304_0003_web.jpg,thumb/7304_0003_thumb.jpg
5,2r,master/7304_0004.tif,web/7304_0004_web.jpg,thumb/7304_0004_thumb.jpg
6,2v,master/7304_0005.tif,web/7304_0005_web.jpg,thumb/7304_0005_thumb.jpg
7,3r,master/7304_0006.tif,web/7304_0006_web.jpg,thumb/7304_0006_thumb.jpg
8,3v,master/7304_0007.tif,web/7304_0007_web.jpg,thumb/7304_0007_thumb.jpg
9,4r,master/7304_0008.tif,web/7304_0008_web.jpg,thumb/7304_0008_thumb.jpg
10,4v,master/7304_0009.tif,web/7304_0009_web.jpg,thumb/7304_0009_thumb.jpg
11,5r,master/7304_0010.tif,web/7304_0010_web.jpg,thumb/7304_0010_thumb.jpg
12,5v,master/7304_0011.tif,web/7304_0011_web.jpg,thumb/7304_0011_thumb.jpg
13,i recto,master/7304_0012.tif,web/7304_0012_web.jpg,thumb/7304_0012_thumb.jpg
14,i verso,master/7304_0013.tif,web/7304_0013_web.jpg,thumb/7304_0013_thumb.jpg
15,Inside back cover,master/7304_0014.tif,web/7304_0014_web.jpg,thumb/7304_0014_thumb.jpg
16,Back cover,master/7304_0015.tif,web/7304_0015_web.jpg,thumb/7304_0015_thumb.jpg
