postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/1626_0000.tif,web/1626_0000_web.jpg,thumb/1626_0000_thumb.jpg
2,Inside front cover,master/1626_0001.tif,web/1626_0001_web.jpg,thumb/1626_0001_thumb.jpg
3,Flyleaf 1r,master/1626_0002.tif,web/1626_0002_web.jpg,thumb/1626_0002_thumb.jpg
4,Unlabeled,master/1626_0003.tif,web/1626_0003_web.jpg,thumb/1626_0003_thumb.jpg
5,Unlabeled,master/1626_0004.tif,web/1626_0004_web.jpg,thumb/1626_0004_thumb.jpg
6,Unlabeled,master/1626_0005.tif,web/1626_0005_web.jpg,thumb/1626_0005_thumb.jpg
7,Unlabeled,master/1626_0006.tif,web/1626_0006_web.jpg,thumb/1626_0006_thumb.jpg
8,Unlabeled,master/1626_0007.tif,web/1626_0007_web.jpg,thumb/1626_0007_thumb.jpg
9,Unlabeled,master/1626_0008.tif,web/1626_0008_web.jpg,thumb/1626_0008_thumb.jpg
10,Unlabeled,master/1626_0009.tif,web/1626_0009_web.jpg,thumb/1626_0009_thumb.jpg
11,Unlabeled,master/1626_0010.tif,web/1626_0010_web.jpg,thumb/1626_0010_thumb.jpg
12,Flyleaf 5 verso,master/1626_0011.tif,web/1626_0011_web.jpg,thumb/1626_0011_thumb.jpg
13,Flyleaf 6 recto,master/1626_0012.tif,web/1626_0012_web.jpg,thumb/1626_0012_thumb.jpg
14,Flyleaf 6 verso,master/1626_0013.tif,web/1626_0013_web.jpg,thumb/1626_0013_thumb.jpg
15,1r,master/1626_0014.tif,web/1626_0014_web.jpg,thumb/1626_0014_thumb.jpg
16,1v,master/1626_0015.tif,web/1626_0015_web.jpg,thumb/1626_0015_thumb.jpg
17,2r,master/1626_0016.tif,web/1626_0016_web.jpg,thumb/1626_0016_thumb.jpg
18,2v,master/1626_0017.tif,web/1626_0017_web.jpg,thumb/1626_0017_thumb.jpg
19,3r,master/1626_0018.tif,web/1626_0018_web.jpg,thumb/1626_0018_thumb.jpg
20,3v,master/1626_0019.tif,web/1626_0019_web.jpg,thumb/1626_0019_thumb.jpg
21,4r,master/1626_0020.tif,web/1626_0020_web.jpg,thumb/1626_0020_thumb.jpg
22,4v,master/1626_0021.tif,web/1626_0021_web.jpg,thumb/1626_0021_thumb.jpg
23,5r,master/1626_0022.tif,web/1626_0022_web.jpg,thumb/1626_0022_thumb.jpg
24,5v,master/1626_0023.tif,web/1626_0023_web.jpg,thumb/1626_0023_thumb.jpg
25,6r,master/1626_0024.tif,web/1626_0024_web.jpg,thumb/1626_0024_thumb.jpg
26,6v,master/1626_0025.tif,web/1626_0025_web.jpg,thumb/1626_0025_thumb.jpg
27,7r,master/1626_0026.tif,web/1626_0026_web.jpg,thumb/1626_0026_thumb.jpg
28,7v,master/1626_0027.tif,web/1626_0027_web.jpg,thumb/1626_0027_thumb.jpg
29,8r,master/1626_0028.tif,web/1626_0028_web.jpg,thumb/1626_0028_thumb.jpg
30,8v,master/1626_0029.tif,web/1626_0029_web.jpg,thumb/1626_0029_thumb.jpg
31,9r,master/1626_0030.tif,web/1626_0030_web.jpg,thumb/1626_0030_thumb.jpg
32,9v,master/1626_0031.tif,web/1626_0031_web.jpg,thumb/1626_0031_thumb.jpg
33,10r,master/1626_0032.tif,web/1626_0032_web.jpg,thumb/1626_0032_thumb.jpg
34,10v,master/1626_0033.tif,web/1626_0033_web.jpg,thumb/1626_0033_thumb.jpg
35,11r,master/1626_0034.tif,web/1626_0034_web.jpg,thumb/1626_0034_thumb.jpg
36,11v,master/1626_0035.tif,web/1626_0035_web.jpg,thumb/1626_0035_thumb.jpg
37,12r,master/1626_0036.tif,web/1626_0036_web.jpg,thumb/1626_0036_thumb.jpg
38,12v,master/1626_0037.tif,web/1626_0037_web.jpg,thumb/1626_0037_thumb.jpg
39,13r,master/1626_0038.tif,web/1626_0038_web.jpg,thumb/1626_0038_thumb.jpg
40,13v,master/1626_0039.tif,web/1626_0039_web.jpg,thumb/1626_0039_thumb.jpg
41,14r,master/1626_0040.tif,web/1626_0040_web.jpg,thumb/1626_0040_thumb.jpg
42,14v,master/1626_0041.tif,web/1626_0041_web.jpg,thumb/1626_0041_thumb.jpg
43,15r,master/1626_0042.tif,web/1626_0042_web.jpg,thumb/1626_0042_thumb.jpg
44,15v,master/1626_0043.tif,web/1626_0043_web.jpg,thumb/1626_0043_thumb.jpg
45,16r,master/1626_0044.tif,web/1626_0044_web.jpg,thumb/1626_0044_thumb.jpg
46,16v,master/1626_0045.tif,web/1626_0045_web.jpg,thumb/1626_0045_thumb.jpg
47,17r,master/1626_0046.tif,web/1626_0046_web.jpg,thumb/1626_0046_thumb.jpg
48,17v,master/1626_0047.tif,web/1626_0047_web.jpg,thumb/1626_0047_thumb.jpg
49,18r,master/1626_0048.tif,web/1626_0048_web.jpg,thumb/1626_0048_thumb.jpg
50,18v,master/1626_0049.tif,web/1626_0049_web.jpg,thumb/1626_0049_thumb.jpg
51,19r,master/1626_0050.tif,web/1626_0050_web.jpg,thumb/1626_0050_thumb.jpg
52,19v,master/1626_0051.tif,web/1626_0051_web.jpg,thumb/1626_0051_thumb.jpg
53,20r,master/1626_0052.tif,web/1626_0052_web.jpg,thumb/1626_0052_thumb.jpg
54,20v,master/1626_0053.tif,web/1626_0053_web.jpg,thumb/1626_0053_thumb.jpg
55,21r,master/1626_0054.tif,web/1626_0054_web.jpg,thumb/1626_0054_thumb.jpg
56,21v,master/1626_0055.tif,web/1626_0055_web.jpg,thumb/1626_0055_thumb.jpg
57,22r,master/1626_0056.tif,web/1626_0056_web.jpg,thumb/1626_0056_thumb.jpg
58,22v,master/1626_0057.tif,web/1626_0057_web.jpg,thumb/1626_0057_thumb.jpg
59,23r,master/1626_0058.tif,web/1626_0058_web.jpg,thumb/1626_0058_thumb.jpg
60,23v,master/1626_0059.tif,web/1626_0059_web.jpg,thumb/1626_0059_thumb.jpg
61,24r,master/1626_0060.tif,web/1626_0060_web.jpg,thumb/1626_0060_thumb.jpg
62,24v,master/1626_0061.tif,web/1626_0061_web.jpg,thumb/1626_0061_thumb.jpg
63,25r,master/1626_0062.tif,web/1626_0062_web.jpg,thumb/1626_0062_thumb.jpg
64,25v,master/1626_0063.tif,web/1626_0063_web.jpg,thumb/1626_0063_thumb.jpg
65,26r,master/1626_0064.tif,web/1626_0064_web.jpg,thumb/1626_0064_thumb.jpg
66,26v,master/1626_0065.tif,web/1626_0065_web.jpg,thumb/1626_0065_thumb.jpg
67,27r,master/1626_0066.tif,web/1626_0066_web.jpg,thumb/1626_0066_thumb.jpg
68,27v,master/1626_0067.tif,web/1626_0067_web.jpg,thumb/1626_0067_thumb.jpg
69,28r,master/1626_0068.tif,web/1626_0068_web.jpg,thumb/1626_0068_thumb.jpg
70,28v,master/1626_0069.tif,web/1626_0069_web.jpg,thumb/1626_0069_thumb.jpg
71,29r,master/1626_0070.tif,web/1626_0070_web.jpg,thumb/1626_0070_thumb.jpg
