postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/6026_0000.tif,web/6026_0000_web.jpg,thumb/6026_0000_thumb.jpg
2,Inside front cover,master/6026_0001.tif,web/6026_0001_web.jpg,thumb/6026_0001_thumb.jpg
3,i,master/6026_0002.tif,web/6026_0002_web.jpg,thumb/6026_0002_thumb.jpg
4,ii,master/6026_0003.tif,web/6026_0003_web.jpg,thumb/6026_0003_thumb.jpg
5,iii,master/6026_0004.tif,web/6026_0004_web.jpg,thumb/6026_0004_thumb.jpg
6,iv,master/6026_0005.tif,web/6026_0005_web.jpg,thumb/6026_0005_thumb.jpg
7,1,master/6026_0006.tif,web/6026_0006_web.jpg,thumb/6026_0006_thumb.jpg
8,2,master/6026_0007.tif,web/6026_0007_web.jpg,thumb/6026_0007_thumb.jpg
9,3,master/6026_0008.tif,web/6026_0008_web.jpg,thumb/6026_0008_thumb.jpg
10,4,master/6026_0009.tif,web/6026_0009_web.jpg,thumb/6026_0009_thumb.jpg
11,5,master/6026_0010.tif,web/6026_0010_web.jpg,thumb/6026_0010_thumb.jpg
12,6,master/6026_0011.tif,web/6026_0011_web.jpg,thumb/6026_0011_thumb.jpg
13,7,master/6026_0012.tif,web/6026_0012_web.jpg,thumb/6026_0012_thumb.jpg
14,8,master/6026_0013.tif,web/6026_0013_web.jpg,thumb/6026_0013_thumb.jpg
15,9,master/6026_0014.tif,web/6026_0014_web.jpg,thumb/6026_0014_thumb.jpg
16,10,master/6026_0015.tif,web/6026_0015_web.jpg,thumb/6026_0015_thumb.jpg
17,11,master/6026_0016.tif,web/6026_0016_web.jpg,thumb/6026_0016_thumb.jpg
18,12,master/6026_0017.tif,web/6026_0017_web.jpg,thumb/6026_0017_thumb.jpg
19,13,master/6026_0018.tif,web/6026_0018_web.jpg,thumb/6026_0018_thumb.jpg
20,14,master/6026_0019.tif,web/6026_0019_web.jpg,thumb/6026_0019_thumb.jpg
21,15,master/6026_0020.tif,web/6026_0020_web.jpg,thumb/6026_0020_thumb.jpg
22,16,master/6026_0021.tif,web/6026_0021_web.jpg,thumb/6026_0021_thumb.jpg
23,17,master/6026_0022.tif,web/6026_0022_web.jpg,thumb/6026_0022_thumb.jpg
24,18,master/6026_0023.tif,web/6026_0023_web.jpg,thumb/6026_0023_thumb.jpg
25,19,master/6026_0024.tif,web/6026_0024_web.jpg,thumb/6026_0024_thumb.jpg
26,20,master/6026_0025.tif,web/6026_0025_web.jpg,thumb/6026_0025_thumb.jpg
27,21,master/6026_0026.tif,web/6026_0026_web.jpg,thumb/6026_0026_thumb.jpg
28,22,master/6026_0027.tif,web/6026_0027_web.jpg,thumb/6026_0027_thumb.jpg
29,23,master/6026_0028.tif,web/6026_0028_web.jpg,thumb/6026_0028_thumb.jpg
30,24,master/6026_0029.tif,web/6026_0029_web.jpg,thumb/6026_0029_thumb.jpg
31,25,master/6026_0030.tif,web/6026_0030_web.jpg,thumb/6026_0030_thumb.jpg
32,26,master/6026_0031.tif,web/6026_0031_web.jpg,thumb/6026_0031_thumb.jpg
33,27,master/6026_0032.tif,web/6026_0032_web.jpg,thumb/6026_0032_thumb.jpg
34,28,master/6026_0033.tif,web/6026_0033_web.jpg,thumb/6026_0033_thumb.jpg
35,29,master/6026_0034.tif,web/6026_0034_web.jpg,thumb/6026_0034_thumb.jpg
36,30,master/6026_0035.tif,web/6026_0035_web.jpg,thumb/6026_0035_thumb.jpg
37,31,master/6026_0036.tif,web/6026_0036_web.jpg,thumb/6026_0036_thumb.jpg
38,32,master/6026_0037.tif,web/6026_0037_web.jpg,thumb/6026_0037_thumb.jpg
39,33,master/6026_0038.tif,web/6026_0038_web.jpg,thumb/6026_0038_thumb.jpg
40,34,master/6026_0039.tif,web/6026_0039_web.jpg,thumb/6026_0039_thumb.jpg
41,35,master/6026_0040.tif,web/6026_0040_web.jpg,thumb/6026_0040_thumb.jpg
42,36,master/6026_0041.tif,web/6026_0041_web.jpg,thumb/6026_0041_thumb.jpg
43,37,master/6026_0042.tif,web/6026_0042_web.jpg,thumb/6026_0042_thumb.jpg
44,38,master/6026_0043.tif,web/6026_0043_web.jpg,thumb/6026_0043_thumb.jpg
45,39,master/6026_0044.tif,web/6026_0044_web.jpg,thumb/6026_0044_thumb.jpg
46,40,master/6026_0045.tif,web/6026_0045_web.jpg,thumb/6026_0045_thumb.jpg
47,41,master/6026_0046.tif,web/6026_0046_web.jpg,thumb/6026_0046_thumb.jpg
48,42,master/6026_0047.tif,web/6026_0047_web.jpg,thumb/6026_0047_thumb.jpg
49,43,master/6026_0048.tif,web/6026_0048_web.jpg,thumb/6026_0048_thumb.jpg
50,44,master/6026_0049.tif,web/6026_0049_web.jpg,thumb/6026_0049_thumb.jpg
51,45,master/6026_0050.tif,web/6026_0050_web.jpg,thumb/6026_0050_thumb.jpg
52,46,master/6026_0051.tif,web/6026_0051_web.jpg,thumb/6026_0051_thumb.jpg
53,47,master/6026_0052.tif,web/6026_0052_web.jpg,thumb/6026_0052_thumb.jpg
54,48,master/6026_0053.tif,web/6026_0053_web.jpg,thumb/6026_0053_thumb.jpg
55,49,master/6026_0054.tif,web/6026_0054_web.jpg,thumb/6026_0054_thumb.jpg
56,50,master/6026_0055.tif,web/6026_0055_web.jpg,thumb/6026_0055_thumb.jpg
57,51,master/6026_0056.tif,web/6026_0056_web.jpg,thumb/6026_0056_thumb.jpg
58,52,master/6026_0057.tif,web/6026_0057_web.jpg,thumb/6026_0057_thumb.jpg
59,53,master/6026_0058.tif,web/6026_0058_web.jpg,thumb/6026_0058_thumb.jpg
60,54,master/6026_0059.tif,web/6026_0059_web.jpg,thumb/6026_0059_thumb.jpg
61,55,master/6026_0060.tif,web/6026_0060_web.jpg,thumb/6026_0060_thumb.jpg
62,56,master/6026_0061.tif,web/6026_0061_web.jpg,thumb/6026_0061_thumb.jpg
63,57,master/6026_0062.tif,web/6026_0062_web.jpg,thumb/6026_0062_thumb.jpg
64,58,master/6026_0063.tif,web/6026_0063_web.jpg,thumb/6026_0063_thumb.jpg
65,59,master/6026_0064.tif,web/6026_0064_web.jpg,thumb/6026_0064_thumb.jpg
66,60,master/6026_0065.tif,web/6026_0065_web.jpg,thumb/6026_0065_thumb.jpg
67,61,master/6026_0066.tif,web/6026_0066_web.jpg,thumb/6026_0066_thumb.jpg
68,62,master/6026_0067.tif,web/6026_0067_web.jpg,thumb/6026_0067_thumb.jpg
69,63,master/6026_0068.tif,web/6026_0068_web.jpg,thumb/6026_0068_thumb.jpg
70,64,master/6026_0069.tif,web/6026_0069_web.jpg,thumb/6026_0069_thumb.jpg
71,65,master/6026_0070.tif,web/6026_0070_web.jpg,thumb/6026_0070_thumb.jpg
72,66,master/6026_0071.tif,web/6026_0071_web.jpg,thumb/6026_0071_thumb.jpg
73,67,master/6026_0072.tif,web/6026_0072_web.jpg,thumb/6026_0072_thumb.jpg
74,68,master/6026_0073.tif,web/6026_0073_web.jpg,thumb/6026_0073_thumb.jpg
75,69,master/6026_0074.tif,web/6026_0074_web.jpg,thumb/6026_0074_thumb.jpg
76,70,master/6026_0075.tif,web/6026_0075_web.jpg,thumb/6026_0075_thumb.jpg
77,71,master/6026_0076.tif,web/6026_0076_web.jpg,thumb/6026_0076_thumb.jpg
78,72,master/6026_0077.tif,web/6026_0077_web.jpg,thumb/6026_0077_thumb.jpg
79,73,master/6026_0078.tif,web/6026_0078_web.jpg,thumb/6026_0078_thumb.jpg
80,74,master/6026_0079.tif,web/6026_0079_web.jpg,thumb/6026_0079_thumb.jpg
81,75,master/6026_0080.tif,web/6026_0080_web.jpg,thumb/6026_0080_thumb.jpg
82,76,master/6026_0081.tif,web/6026_0081_web.jpg,thumb/6026_0081_thumb.jpg
83,77,master/6026_0082.tif,web/6026_0082_web.jpg,thumb/6026_0082_thumb.jpg
84,78,master/6026_0083.tif,web/6026_0083_web.jpg,thumb/6026_0083_thumb.jpg
85,79,master/6026_0084.tif,web/6026_0084_web.jpg,thumb/6026_0084_thumb.jpg
86,80,master/6026_0085.tif,web/6026_0085_web.jpg,thumb/6026_0085_thumb.jpg
87,81,master/6026_0086.tif,web/6026_0086_web.jpg,thumb/6026_0086_thumb.jpg
88,82,master/6026_0087.tif,web/6026_0087_web.jpg,thumb/6026_0087_thumb.jpg
89,83,master/6026_0088.tif,web/6026_0088_web.jpg,thumb/6026_0088_thumb.jpg
90,84,master/6026_0089.tif,web/6026_0089_web.jpg,thumb/6026_0089_thumb.jpg
91,85,master/6026_0090.tif,web/6026_0090_web.jpg,thumb/6026_0090_thumb.jpg
92,86,master/6026_0091.tif,web/6026_0091_web.jpg,thumb/6026_0091_thumb.jpg
93,87,master/6026_0092.tif,web/6026_0092_web.jpg,thumb/6026_0092_thumb.jpg
94,88,master/6026_0093.tif,web/6026_0093_web.jpg,thumb/6026_0093_thumb.jpg
95,89,master/6026_0094.tif,web/6026_0094_web.jpg,thumb/6026_0094_thumb.jpg
96,90,master/6026_0095.tif,web/6026_0095_web.jpg,thumb/6026_0095_thumb.jpg
97,91,master/6026_0096.tif,web/6026_0096_web.jpg,thumb/6026_0096_thumb.jpg
98,92,master/6026_0097.tif,web/6026_0097_web.jpg,thumb/6026_0097_thumb.jpg
99,93,master/6026_0098.tif,web/6026_0098_web.jpg,thumb/6026_0098_thumb.jpg
100,94,master/6026_0099.tif,web/6026_0099_web.jpg,thumb/6026_0099_thumb.jpg
101,95,master/6026_0100.tif,web/6026_0100_web.jpg,thumb/6026_0100_thumb.jpg
102,96,master/6026_0101.tif,web/6026_0101_web.jpg,thumb/6026_0101_thumb.jpg
103,97,master/6026_0102.tif,web/6026_0102_web.jpg,thumb/6026_0102_thumb.jpg
104,98,master/6026_0103.tif,web/6026_0103_web.jpg,thumb/6026_0103_thumb.jpg
105,99,master/6026_0104.tif,web/6026_0104_web.jpg,thumb/6026_0104_thumb.jpg
106,100,master/6026_0105.tif,web/6026_0105_web.jpg,thumb/6026_0105_thumb.jpg
107,101,master/6026_0106.tif,web/6026_0106_web.jpg,thumb/6026_0106_thumb.jpg
108,102,master/6026_0107.tif,web/6026_0107_web.jpg,thumb/6026_0107_thumb.jpg
109,103,master/6026_0108.tif,web/6026_0108_web.jpg,thumb/6026_0108_thumb.jpg
110,104,master/6026_0109.tif,web/6026_0109_web.jpg,thumb/6026_0109_thumb.jpg
111,105,master/6026_0110.tif,web/6026_0110_web.jpg,thumb/6026_0110_thumb.jpg
112,106,master/6026_0111.tif,web/6026_0111_web.jpg,thumb/6026_0111_thumb.jpg
113,107,master/6026_0112.tif,web/6026_0112_web.jpg,thumb/6026_0112_thumb.jpg
114,108,master/6026_0113.tif,web/6026_0113_web.jpg,thumb/6026_0113_thumb.jpg
115,109,master/6026_0114.tif,web/6026_0114_web.jpg,thumb/6026_0114_thumb.jpg
116,110,master/6026_0115.tif,web/6026_0115_web.jpg,thumb/6026_0115_thumb.jpg
117,111,master/6026_0116.tif,web/6026_0116_web.jpg,thumb/6026_0116_thumb.jpg
118,112,master/6026_0117.tif,web/6026_0117_web.jpg,thumb/6026_0117_thumb.jpg
119,113,master/6026_0118.tif,web/6026_0118_web.jpg,thumb/6026_0118_thumb.jpg
120,114,master/6026_0119.tif,web/6026_0119_web.jpg,thumb/6026_0119_thumb.jpg
121,115,master/6026_0120.tif,web/6026_0120_web.jpg,thumb/6026_0120_thumb.jpg
122,116,master/6026_0121.tif,web/6026_0121_web.jpg,thumb/6026_0121_thumb.jpg
123,117,master/6026_0122.tif,web/6026_0122_web.jpg,thumb/6026_0122_thumb.jpg
124,118,master/6026_0123.tif,web/6026_0123_web.jpg,thumb/6026_0123_thumb.jpg
125,119,master/6026_0124.tif,web/6026_0124_web.jpg,thumb/6026_0124_thumb.jpg
126,120,master/6026_0125.tif,web/6026_0125_web.jpg,thumb/6026_0125_thumb.jpg
127,121,master/6026_0126.tif,web/6026_0126_web.jpg,thumb/6026_0126_thumb.jpg
