postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/6743_0000.tif,web/6743_0000_web.jpg,thumb/6743_0000_thumb.jpg
2,Inside front cover,master/6743_0001.tif,web/6743_0001_web.jpg,thumb/6743_0001_thumb.jpg
3,Flyleaf 1 recto,master/6743_0002.tif,web/6743_0002_web.jpg,thumb/6743_0002_thumb.jpg
4,Flyleaf 1 verso,master/6743_0003.tif,web/6743_0003_web.jpg,thumb/6743_0003_thumb.jpg
5,Flyleaf 2 recto,master/6743_0004.tif,web/6743_0004_web.jpg,thumb/6743_0004_thumb.jpg
6,Flyleaf 2 verso,master/6743_0005.tif,web/6743_0005_web.jpg,thumb/6743_0005_thumb.jpg
7,Flyleaf 3 recto,master/6743_0006.tif,web/6743_0006_web.jpg,thumb/6743_0006_thumb.jpg
8,Flyleaf 3 verso,master/6743_0007.tif,web/6743_0007_web.jpg,thumb/6743_0007_thumb.jpg
9,1r,master/6743_0008.tif,web/6743_0008_web.jpg,thumb/6743_0008_thumb.jpg
10,1v,master/6743_0009.tif,web/6743_0009_web.jpg,thumb/6743_0009_thumb.jpg
11,2r,master/6743_0010.tif,web/6743_0010_web.jpg,thumb/6743_0010_thumb.jpg
12,2v,master/6743_0011.tif,web/6743_0011_web.jpg,thumb/6743_0011_thumb.jpg
13,3r,master/6743_0012.tif,web/6743_0012_web.jpg,thumb/6743_0012_thumb.jpg
14,3v,master/6743_0013.tif,web/6743_0013_web.jpg,thumb/6743_0013_thumb.jpg
15,4r,master/6743_0014.tif,web/6743_0014_web.jpg,thumb/6743_0014_thumb.jpg
16,4v,master/6743_0015.tif,web/6743_0015_web.jpg,thumb/6743_0015_thumb.jpg
17,5r,master/6743_0016.tif,web/6743_0016_web.jpg,thumb/6743_0016_thumb.jpg
18,5v,master/6743_0017.tif,web/6743_0017_web.jpg,thumb/6743_0017_thumb.jpg
19,6r,master/6743_0018.tif,web/6743_0018_web.jpg,thumb/6743_0018_thumb.jpg
20,6v,master/6743_0019.tif,web/6743_0019_web.jpg,thumb/6743_0019_thumb.jpg
21,7r,master/6743_0020.tif,web/6743_0020_web.jpg,thumb/6743_0020_thumb.jpg
22,7v,master/6743_0021.tif,web/6743_0021_web.jpg,thumb/6743_0021_thumb.jpg
23,8r,master/6743_0022.tif,web/6743_0022_web.jpg,thumb/6743_0022_thumb.jpg
24,8v,master/6743_0023.tif,web/6743_0023_web.jpg,thumb/6743_0023_thumb.jpg
25,9r,master/6743_0024.tif,web/6743_0024_web.jpg,thumb/6743_0024_thumb.jpg
26,9v,master/6743_0025.tif,web/6743_0025_web.jpg,thumb/6743_0025_thumb.jpg
27,10r,master/6743_0026.tif,web/6743_0026_web.jpg,thumb/6743_0026_thumb.jpg
28,10v,master/6743_0027.tif,web/6743_0027_web.jpg,thumb/6743_0027_thumb.jpg
29,11r,master/6743_0028.tif,web/6743_0028_web.jpg,thumb/6743_0028_thumb.jpg
30,11v,master/6743_0029.tif,web/6743_0029_web.jpg,thumb/6743_0029_thumb.jpg
31,12r,master/6743_0030.tif,web/6743_0030_web.jpg,thumb/6743_0030_thumb.jpg
32,12v,master/6743_0031.tif,web/6743_0031_web.jpg,thumb/6743_0031_thumb.jpg
33,13r,master/6743_0032.tif,web/6743_0032_web.jpg,thumb/6743_0032_thumb.jpg
34,13v,master/6743_0033.tif,web/6743_0033_web.jpg,thumb/6743_0033_thumb.jpg
35,14r,master/6743_0034.tif,web/6743_0034_web.jpg,thumb/6743_0034_thumb.jpg
36,14v,master/6743_0035.tif,web/6743_0035_web.jpg,thumb/6743_0035_thumb.jpg
37,15r,master/6743_0036.tif,web/6743_0036_web.jpg,thumb/6743_0036_thumb.jpg
38,15v,master/6743_0037.tif,web/6743_0037_web.jpg,thumb/6743_0037_thumb.jpg
39,16r,master/6743_0038.tif,web/6743_0038_web.jpg,thumb/6743_0038_thumb.jpg
40,16v,master/6743_0039.tif,web/6743_0039_web.jpg,thumb/6743_0039_thumb.jpg
41,17r,master/6743_0040.tif,web/6743_0040_web.jpg,thumb/6743_0040_thumb.jpg
42,17v,master/6743_0041.tif,web/6743_0041_web.jpg,thumb/6743_0041_thumb.jpg
43,18r,master/6743_0042.tif,web/6743_0042_web.jpg,thumb/6743_0042_thumb.jpg
44,18v,master/6743_0043.tif,web/6743_0043_web.jpg,thumb/6743_0043_thumb.jpg
45,19r,master/6743_0044.tif,web/6743_0044_web.jpg,thumb/6743_0044_thumb.jpg
46,19v,master/6743_0045.tif,web/6743_0045_web.jpg,thumb/6743_0045_thumb.jpg
47,20r,master/6743_0046.tif,web/6743_0046_web.jpg,thumb/6743_0046_thumb.jpg
48,20v,master/6743_0047.tif,web/6743_0047_web.jpg,thumb/6743_0047_thumb.jpg
49,21r,master/6743_0048.tif,web/6743_0048_web.jpg,thumb/6743_0048_thumb.jpg
50,21v,master/6743_0049.tif,web/6743_0049_web.jpg,thumb/6743_0049_thumb.jpg
51,22r,master/6743_0050.tif,web/6743_0050_web.jpg,thumb/6743_0050_thumb.jpg
52,22v,master/6743_0051.tif,web/6743_0051_web.jpg,thumb/6743_0051_thumb.jpg
53,23r,master/6743_0052.tif,web/6743_0052_web.jpg,thumb/6743_0052_thumb.jpg
54,23v,master/6743_0053.tif,web/6743_0053_web.jpg,thumb/6743_0053_thumb.jpg
55,24r,master/6743_0054.tif,web/6743_0054_web.jpg,thumb/6743_0054_thumb.jpg
56,24v,master/6743_0055.tif,web/6743_0055_web.jpg,thumb/6743_0055_thumb.jpg
57,25r,master/6743_0056.tif,web/6743_0056_web.jpg,thumb/6743_0056_thumb.jpg
58,25v,master/6743_0057.tif,web/6743_0057_web.jpg,thumb/6743_0057_thumb.jpg
59,26r,master/6743_0058.tif,web/6743_0058_web.jpg,thumb/6743_0058_thumb.jpg
60,26v,master/6743_0059.tif,web/6743_0059_web.jpg,thumb/6743_0059_thumb.jpg
61,27r,master/6743_0060.tif,web/6743_0060_web.jpg,thumb/6743_0060_thumb.jpg
62,27v,master/6743_0061.tif,web/6743_0061_web.jpg,thumb/6743_0061_thumb.jpg
63,28r,master/6743_0062.tif,web/6743_0062_web.jpg,thumb/6743_0062_thumb.jpg
64,28v,master/6743_0063.tif,web/6743_0063_web.jpg,thumb/6743_0063_thumb.jpg
65,29r,master/6743_0064.tif,web/6743_0064_web.jpg,thumb/6743_0064_thumb.jpg
66,29v,master/6743_0065.tif,web/6743_0065_web.jpg,thumb/6743_0065_thumb.jpg
67,30r,master/6743_0066.tif,web/6743_0066_web.jpg,thumb/6743_0066_thumb.jpg
68,30v,master/6743_0067.tif,web/6743_0067_web.jpg,thumb/6743_0067_thumb.jpg
69,31r,master/6743_0068.tif,web/6743_0068_web.jpg,thumb/6743_0068_thumb.jpg
70,31v,master/6743_0069.tif,web/6743_0069_web.jpg,thumb/6743_0069_thumb.jpg
71,32r,master/6743_0070.tif,web/6743_0070_web.jpg,thumb/6743_0070_thumb.jpg
72,32v,master/6743_0071.tif,web/6743_0071_web.jpg,thumb/6743_0071_thumb.jpg
73,33r,master/6743_0072.tif,web/6743_0072_web.jpg,thumb/6743_0072_thumb.jpg
74,33v,master/6743_0073.tif,web/6743_0073_web.jpg,thumb/6743_0073_thumb.jpg
75,34r,master/6743_0074.tif,web/6743_0074_web.jpg,thumb/6743_0074_thumb.jpg
