postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,1r,master/2620_0000.tif,web/2620_0000_web.jpg,thumb/2620_0000_thumb.jpg
2,1v-2r,master/2620_0001.tif,web/2620_0001_web.jpg,thumb/2620_0001_thumb.jpg
3,2v-3r,master/2620_0002.tif,web/2620_0002_web.jpg,thumb/2620_0002_thumb.jpg
4,3v-4r,master/2620_0003.tif,web/2620_0003_web.jpg,thumb/2620_0003_thumb.jpg
5,4v-5r,master/2620_0004.tif,web/2620_0004_web.jpg,thumb/2620_0004_thumb.jpg
6,5v-6r,master/2620_0005.tif,web/2620_0005_web.jpg,thumb/2620_0005_thumb.jpg
7,6v-7r,master/2620_0006.tif,web/2620_0006_web.jpg,thumb/2620_0006_thumb.jpg
8,7v-8r,master/2620_0007.tif,web/2620_0007_web.jpg,thumb/2620_0007_thumb.jpg
9,8v-9r,master/2620_0008.tif,web/2620_0008_web.jpg,thumb/2620_0008_thumb.jpg
10,9v-10r,master/2620_0009.tif,web/2620_0009_web.jpg,thumb/2620_0009_thumb.jpg
11,10v-11r,master/2620_0010.tif,web/2620_0010_web.jpg,thumb/2620_0010_thumb.jpg
12,11v-12r,master/2620_0011.tif,web/2620_0011_web.jpg,thumb/2620_0011_thumb.jpg
13,12v-13r,master/2620_0012.tif,web/2620_0012_web.jpg,thumb/2620_0012_thumb.jpg
14,13v-14r,master/2620_0013.tif,web/2620_0013_web.jpg,thumb/2620_0013_thumb.jpg
15,14v-15r,master/2620_0014.tif,web/2620_0014_web.jpg,thumb/2620_0014_thumb.jpg
16,15v-16r,master/2620_0015.tif,web/2620_0015_web.jpg,thumb/2620_0015_thumb.jpg
17,16v-17r,master/2620_0016.tif,web/2620_0016_web.jpg,thumb/2620_0016_thumb.jpg
18,17v-18r,master/2620_0017.tif,web/2620_0017_web.jpg,thumb/2620_0017_thumb.jpg
19,18v-19r,master/2620_0018.tif,web/2620_0018_web.jpg,thumb/2620_0018_thumb.jpg
20,19v-20r,master/2620_0019.tif,web/2620_0019_web.jpg,thumb/2620_0019_thumb.jpg
21,20v-21r,master/2620_0020.tif,web/2620_0020_web.jpg,thumb/2620_0020_thumb.jpg
22,21v-22r,master/2620_0021.tif,web/2620_0021_web.jpg,thumb/2620_0021_thumb.jpg
23,22v-23r,master/2620_0022.tif,web/2620_0022_web.jpg,thumb/2620_0022_thumb.jpg
24,23v-24r,master/2620_0023.tif,web/2620_0023_web.jpg,thumb/2620_0023_thumb.jpg
25,24v-25r,master/2620_0024.tif,web/2620_0024_web.jpg,thumb/2620_0024_thumb.jpg
26,25v-26r,master/2620_0025.tif,web/2620_0025_web.jpg,thumb/2620_0025_thumb.jpg
27,26v-27r,master/2620_0026.tif,web/2620_0026_web.jpg,thumb/2620_0026_thumb.jpg
28,27v-28r,master/2620_0027.tif,web/2620_0027_web.jpg,thumb/2620_0027_thumb.jpg
29,28v-29r,master/2620_0028.tif,web/2620_0028_web.jpg,thumb/2620_0028_thumb.jpg
30,29v-30r,master/2620_0029.tif,web/2620_0029_web.jpg,thumb/2620_0029_thumb.jpg
31,30v-31r,master/2620_0030.tif,web/2620_0030_web.jpg,thumb/2620_0030_thumb.jpg
32,31v-32r,master/2620_0031.tif,web/2620_0031_web.jpg,thumb/2620_0031_thumb.jpg
33,32v-33r,master/2620_0032.tif,web/2620_0032_web.jpg,thumb/2620_0032_thumb.jpg
34,33v-34r,master/2620_0033.tif,web/2620_0033_web.jpg,thumb/2620_0033_thumb.jpg
35,34v-35r,master/2620_0034.tif,web/2620_0034_web.jpg,thumb/2620_0034_thumb.jpg
36,35v-36r,master/2620_0035.tif,web/2620_0035_web.jpg,thumb/2620_0035_thumb.jpg
37,36v-37r,master/2620_0036.tif,web/2620_0036_web.jpg,thumb/2620_0036_thumb.jpg
38,37v-38r,master/2620_0037.tif,web/2620_0037_web.jpg,thumb/2620_0037_thumb.jpg
39,38v-39r,master/2620_0038.tif,web/2620_0038_web.jpg,thumb/2620_0038_thumb.jpg
40,39v-40r,master/2620_0039.tif,web/2620_0039_web.jpg,thumb/2620_0039_thumb.jpg
41,40v-41r,master/2620_0040.tif,web/2620_0040_web.jpg,thumb/2620_0040_thumb.jpg
42,41v-42r,master/2620_0041.tif,web/2620_0041_web.jpg,thumb/2620_0041_thumb.jpg
43,42v-43r,master/2620_0042.tif,web/2620_0042_web.jpg,thumb/2620_0042_thumb.jpg
44,43v-44r,master/2620_0043.tif,web/2620_0043_web.jpg,thumb/2620_0043_thumb.jpg
45,44v-45r,master/2620_0044.tif,web/2620_0044_web.jpg,thumb/2620_0044_thumb.jpg
46,45v-46r,master/2620_0045.tif,web/2620_0045_web.jpg,thumb/2620_0045_thumb.jpg
47,46v-47r,master/2620_0046.tif,web/2620_0046_web.jpg,thumb/2620_0046_thumb.jpg
48,47v-48r,master/2620_0047.tif,web/2620_0047_web.jpg,thumb/2620_0047_thumb.jpg
49,48v-49r,master/2620_0048.tif,web/2620_0048_web.jpg,thumb/2620_0048_thumb.jpg
50,49v-50r,master/2620_0049.tif,web/2620_0049_web.jpg,thumb/2620_0049_thumb.jpg
51,50v-51r,master/2620_0050.tif,web/2620_0050_web.jpg,thumb/2620_0050_thumb.jpg
52,51v-52r,master/2620_0051.tif,web/2620_0051_web.jpg,thumb/2620_0051_thumb.jpg
53,52v-53r,master/2620_0052.tif,web/2620_0052_web.jpg,thumb/2620_0052_thumb.jpg
54,53v-54r,master/2620_0053.tif,web/2620_0053_web.jpg,thumb/2620_0053_thumb.jpg
55,54v-55r,master/2620_0054.tif,web/2620_0054_web.jpg,thumb/2620_0054_thumb.jpg
56,55v-56r,master/2620_0055.tif,web/2620_0055_web.jpg,thumb/2620_0055_thumb.jpg
57,56v-57r,master/2620_0056.tif,web/2620_0056_web.jpg,thumb/2620_0056_thumb.jpg
58,57v-58r,master/2620_0057.tif,web/2620_0057_web.jpg,thumb/2620_0057_thumb.jpg
59,58v-59r,master/2620_0058.tif,web/2620_0058_web.jpg,thumb/2620_0058_thumb.jpg
60,59v-60r,master/2620_0059.tif,web/2620_0059_web.jpg,thumb/2620_0059_thumb.jpg
61,60v-61r,master/2620_0060.tif,web/2620_0060_web.jpg,thumb/2620_0060_thumb.jpg
62,61v-62r,master/2620_0061.tif,web/2620_0061_web.jpg,thumb/2620_0061_thumb.jpg
63,62v-63r,master/2620_0062.tif,web/2620_0062_web.jpg,thumb/2620_0062_thumb.jpg
64,63v-64r,master/2620_0063.tif,web/2620_0063_web.jpg,thumb/2620_0063_thumb.jpg
65,64v-65r,master/2620_0064.tif,web/2620_0064_web.jpg,thumb/2620_0064_thumb.jpg
66,65v-66r,master/2620_0065.tif,web/2620_0065_web.jpg,thumb/2620_0065_thumb.jpg
67,66v-67r,master/2620_0066.tif,web/2620_0066_web.jpg,thumb/2620_0066_thumb.jpg
68,67v-68r,master/2620_0067.tif,web/2620_0067_web.jpg,thumb/2620_0067_thumb.jpg
69,68v-69r,master/2620_0068.tif,web/2620_0068_web.jpg,thumb/2620_0068_thumb.jpg
70,69v-70r,master/2620_0069.tif,web/2620_0069_web.jpg,thumb/2620_0069_thumb.jpg
71,70v-71r,master/2620_0070.tif,web/2620_0070_web.jpg,thumb/2620_0070_thumb.jpg
72,71v-72r,master/2620_0071.tif,web/2620_0071_web.jpg,thumb/2620_0071_thumb.jpg
73,72v-73r,master/2620_0072.tif,web/2620_0072_web.jpg,thumb/2620_0072_thumb.jpg
74,73v-74r,master/2620_0073.tif,web/2620_0073_web.jpg,thumb/2620_0073_thumb.jpg
75,74v-75r,master/2620_0074.tif,web/2620_0074_web.jpg,thumb/2620_0074_thumb.jpg
76,75v-76r,master/2620_0075.tif,web/2620_0075_web.jpg,thumb/2620_0075_thumb.jpg
77,76v-77r,master/2620_0076.tif,web/2620_0076_web.jpg,thumb/2620_0076_thumb.jpg
78,77v-78r,master/2620_0077.tif,web/2620_0077_web.jpg,thumb/2620_0077_thumb.jpg
79,78v-79r,master/2620_0078.tif,web/2620_0078_web.jpg,thumb/2620_0078_thumb.jpg
80,79v-80r,master/2620_0079.tif,web/2620_0079_web.jpg,thumb/2620_0079_thumb.jpg
81,80v-81r,master/2620_0080.tif,web/2620_0080_web.jpg,thumb/2620_0080_thumb.jpg
82,81v-82r,master/2620_0081.tif,web/2620_0081_web.jpg,thumb/2620_0081_thumb.jpg
83,82v-83r,master/2620_0082.tif,web/2620_0082_web.jpg,thumb/2620_0082_thumb.jpg
84,83v-84r,master/2620_0083.tif,web/2620_0083_web.jpg,thumb/2620_0083_thumb.jpg
85,84v-85r,master/2620_0084.tif,web/2620_0084_web.jpg,thumb/2620_0084_thumb.jpg
86,85v-86r,master/2620_0085.tif,web/2620_0085_web.jpg,thumb/2620_0085_thumb.jpg
87,86v-87r,master/2620_0086.tif,web/2620_0086_web.jpg,thumb/2620_0086_thumb.jpg
88,87v-88r,master/2620_0087.tif,web/2620_0087_web.jpg,thumb/2620_0087_thumb.jpg
89,88v-89r,master/2620_0088.tif,web/2620_0088_web.jpg,thumb/2620_0088_thumb.jpg
90,89v-90r,master/2620_0089.tif,web/2620_0089_web.jpg,thumb/2620_0089_thumb.jpg
91,90v-91r,master/2620_0090.tif,web/2620_0090_web.jpg,thumb/2620_0090_thumb.jpg
92,91v-92r,master/2620_0091.tif,web/2620_0091_web.jpg,thumb/2620_0091_thumb.jpg
93,92v-93r,master/2620_0092.tif,web/2620_0092_web.jpg,thumb/2620_0092_thumb.jpg
94,93v-94r,master/2620_0093.tif,web/2620_0093_web.jpg,thumb/2620_0093_thumb.jpg
95,94v-95r,master/2620_0094.tif,web/2620_0094_web.jpg,thumb/2620_0094_thumb.jpg
96,95v-96r,master/2620_0095.tif,web/2620_0095_web.jpg,thumb/2620_0095_thumb.jpg
97,96v-97r,master/2620_0096.tif,web/2620_0096_web.jpg,thumb/2620_0096_thumb.jpg
98,97v-98r,master/2620_0097.tif,web/2620_0097_web.jpg,thumb/2620_0097_thumb.jpg
99,98v-99r,master/2620_0098.tif,web/2620_0098_web.jpg,thumb/2620_0098_thumb.jpg
100,99v-100r,master/2620_0099.tif,web/2620_0099_web.jpg,thumb/2620_0099_thumb.jpg
101,100v-101r,master/2620_0100.tif,web/2620_0100_web.jpg,thumb/2620_0100_thumb.jpg
102,101v-102r,master/2620_0101.tif,web/2620_0101_web.jpg,thumb/2620_0101_thumb.jpg
103,102v-103r,master/2620_0102.tif,web/2620_0102_web.jpg,thumb/2620_0102_thumb.jpg
104,103v-104r,master/2620_0103.tif,web/2620_0103_web.jpg,thumb/2620_0103_thumb.jpg
105,104v-105r,master/2620_0104.tif,web/2620_0104_web.jpg,thumb/2620_0104_thumb.jpg
106,105v-106r,master/2620_0105.tif,web/2620_0105_web.jpg,thumb/2620_0105_thumb.jpg
107,106v-107r,master/2620_0106.tif,web/2620_0106_web.jpg,thumb/2620_0106_thumb.jpg
108,107v-108r,master/2620_0107.tif,web/2620_0107_web.jpg,thumb/2620_0107_thumb.jpg
109,108v-109r,master/2620_0108.tif,web/2620_0108_web.jpg,thumb/2620_0108_thumb.jpg
110,109v-110r,master/2620_0109.tif,web/2620_0109_web.jpg,thumb/2620_0109_thumb.jpg
111,110v-111r,master/2620_0110.tif,web/2620_0110_web.jpg,thumb/2620_0110_thumb.jpg
112,111v-112r,master/2620_0111.tif,web/2620_0111_web.jpg,thumb/2620_0111_thumb.jpg
113,112v-113r,master/2620_0112.tif,web/2620_0112_web.jpg,thumb/2620_0112_thumb.jpg
114,113v-114r,master/2620_0113.tif,web/2620_0113_web.jpg,thumb/2620_0113_thumb.jpg
115,114v-115r,master/2620_0114.tif,web/2620_0114_web.jpg,thumb/2620_0114_thumb.jpg
