postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/0587_0000.tif,web/0587_0000_web.jpg,thumb/0587_0000_thumb.jpg
2,Inside front cover,master/0587_0001.tif,web/0587_0001_web.jpg,thumb/0587_0001_thumb.jpg
3,i recto,master/0587_0002.tif,web/0587_0002_web.jpg,thumb/0587_0002_thumb.jpg
4,i verso,master/0587_0003.tif,web/0587_0003_web.jpg,thumb/0587_0003_thumb.jpg
5,ii recto,master/0587_0004.tif,web/0587_0004_web.jpg,thumb/0587_0004_thumb.jpg
6,ii verso,master/0587_0005.tif,web/0587_0005_web.jpg,thumb/0587_0005_thumb.jpg
7,iii recto,master/0587_0006.tif,web/0587_0006_web.jpg,thumb/0587_0006_thumb.jpg
8,iii verso,master/0587_0007.tif,web/0587_0007_web.jpg,thumb/0587_0007_thumb.jpg
9,iv recto,master/0587_0008.tif,web/0587_0008_web.jpg,thumb/0587_0008_thumb.jpg
10,iv verso,master/0587_0009.tif,web/0587_0009_web.jpg,thumb/0587_0009_thumb.jpg
11,v recto,master/0587_0010.tif,web/0587_0010_web.jpg,thumb/0587_0010_thumb.jpg
12,v verso,master/0587_0011.tif,web/0587_0011_web.jpg,thumb/0587_0011_thumb.jpg
13,vi recto,master/0587_0012.tif,web/0587_0012_web.jpg,thumb/0587_0012_thumb.jpg
14,vi verso,master/0587_0013.tif,web/0587_0013_web.jpg,thumb/0587_0013_thumb.jpg
15,1r,master/0587_0014.tif,web/0587_0014_web.jpg,thumb/0587_0014_thumb.jpg
16,1v,master/0587_0015.tif,web/0587_0015_web.jpg,thumb/0587_0015_thumb.jpg
17,2r,master/0587_0016.tif,web/0587_0016_web.jpg,thumb/0587_0016_thumb.jpg
18,2v,master/0587_0017.tif,web/0587_0017_web.jpg,thumb/0587_0017_thumb.jpg
19,3r,master/0587_0018.tif,web/0587_0018_web.jpg,thumb/0587_0018_thumb.jpg
20,3v,master/0587_0019.tif,web/0587_0019_web.jpg,thumb/0587_0019_thumb.jpg
21,4r,master/0587_0020.tif,web/0587_0020_web.jpg,thumb/0587_0020_thumb.jpg
22,4v,master/0587_0021.tif,web/0587_0021_web.jpg,thumb/0587_0021_thumb.jpg
23,5r,master/0587_0022.tif,web/0587_0022_web.jpg,thumb/0587_0022_thumb.jpg
24,5v,master/0587_0023.tif,web/0587_0023_web.jpg,thumb/0587_0023_thumb.jpg
25,6r,master/0587_0024.tif,web/0587_0024_web.jpg,thumb/0587_0024_thumb.jpg
26,6v,master/0587_0025.tif,web/0587_0025_web.jpg,thumb/0587_0025_thumb.jpg
27,7r,master/0587_0026.tif,web/0587_0026_web.jpg,thumb/0587_0026_thumb.jpg
28,7v,master/0587_0027.tif,web/0587_0027_web.jpg,thumb/0587_0027_thumb.jpg
29,8r,master/0587_0028.tif,web/0587_0028_web.jpg,thumb/0587_0028_thumb.jpg
30,8v,master/0587_0029.tif,web/0587_0029_web.jpg,thumb/0587_0029_thumb.jpg
31,9r,master/0587_0030.tif,web/0587_0030_web.jpg,thumb/0587_0030_thumb.jpg
32,9v,master/0587_0031.tif,web/0587_0031_web.jpg,thumb/0587_0031_thumb.jpg
33,10r,master/0587_0032.tif,web/0587_0032_web.jpg,thumb/0587_0032_thumb.jpg
34,10v,master/0587_0033.tif,web/0587_0033_web.jpg,thumb/0587_0033_thumb.jpg
35,11r,master/0587_0034.tif,web/0587_0034_web.jpg,thumb/0587_0034_thumb.jpg
36,11v,master/0587_0035.tif,web/0587_0035_web.jpg,thumb/0587_0035_thumb.jpg
37,12r,master/0587_0036.tif,web/0587_0036_web.jpg,thumb/0587_0036_thumb.jpg
38,12v,master/0587_0037.tif,web/0587_0037_web.jpg,thumb/0587_0037_thumb.jpg
39,13r,master/0587_0038.tif,web/0587_0038_web.jpg,thumb/0587_0038_thumb.jpg
40,13v,master/0587_0039.tif,web/0587_0039_web.jpg,thumb/0587_0039_thumb.jpg
41,14r,master/0587_0040.tif,web/0587_0040_web.jpg,thumb/0587_0040_thumb.jpg
42,14v,master/0587_0041.tif,web/0587_0041_web.jpg,thumb/0587_0041_thumb.jpg
43,15r,master/0587_0042.tif,web/0587_0042_web.jpg,thumb/0587_0042_thumb.jpg
44,15v,master/0587_0043.tif,web/0587_0043_web.jpg,thumb/0587_0043_thumb.jpg
45,16r,master/0587_0044.tif,web/0587_0044_web.jpg,thumb/0587_0044_thumb.jpg
46,16v,master/0587_0045.tif,web/0587_0045_web.jpg,thumb/0587_0045_thumb.jpg
