postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/1269_0000.tif,web/1269_0000_web.jpg,thumb/1269_0000_thumb.jpg
2,Inside front cover,master/1269_0001.tif,web/1269_0001_web.jpg,thumb/1269_0001_thumb.jpg
3,1,master/1269_0002.tif,web/1269_0002_web.jpg,thumb/1269_0002_thumb.jpg
4,2,master/1269_0003.tif,web/1269_0003_web.jpg,thumb/1269_0003_thumb.jpg
5,3,master/1269_0004.tif,web/1269_0004_web.jpg,thumb/1269_0004_thumb.jpg
6,4,master/1269_0005.tif,web/1269_0005_web.jpg,thumb/1269_0005_thumb.jpg
7,5,master/1269_0006.tif,web/1269_0006_web.jpg,thumb/1269_0006_thumb.jpg
8,6,master/1269_0007.tif,web/1269_0007_web.jpg,thumb/1269_0007_thumb.jpg
9,7,master/1269_0008.tif,web/1269_0008_web.jpg,thumb/1269_0008_thumb.jpg
10,8,master/1269_0009.tif,web/1269_0009_web.jpg,thumb/1269_0009_thumb.jpg
11,9,master/1269_0010.tif,web/1269_0010_web.jpg,thumb/1269_0010_thumb.jpg
12,10,master/1269_0011.tif,web/1269_0011_web.jpg,thumb/1269_0011_thumb.jpg
13,11,master/1269_0012.tif,web/1269_0012_web.jpg,thumb/1269_0012_thumb.jpg
14,12,master/1269_0013.tif,web/1269_0013_web.jpg,thumb/1269_0013_thumb.jpg
15,13,master/1269_0014.tif,web/1269_0014_web.jpg,thumb/1269_0014_thumb.jpg
16,14,master/1269_0015.tif,web/1269_0015_web.jpg,thumb/1269_0015_thumb.jpg
17,15,master/1269_0016.tif,web/1269_0016_web.jpg,thumb/1269_0016_thumb.jpg
18,16,master/1269_0017.tif,web/1269_0017_web.jpg,thumb/1269_0017_thumb.jpg
19,17,master/1269_0018.tif,web/1269_0018_web.jpg,thumb/1269_0018_thumb.jpg
20,18,master/1269_0019.tif,web/1269_0019_web.jpg,thumb/1269_0019_thumb.jpg
21,19,master/1269_0020.tif,web/1269_0020_web.jpg,thumb/1269_0020_thumb.jpg
22,20,master/1269_0021.tif,web/1269_0021_web.jpg,thumb/1269_0021_thumb.jpg
23,21,master/1269_0022.tif,web/1269_0022_web.jpg,thumb/1269_0022_thumb.jpg
24,22,master/1269_0023.tif,web/1269_0023_web.jpg,thumb/1269_0023_thumb.jpg
25,23,master/1269_0024.tif,web/1269_0024_web.jpg,thumb/1269_0024_thumb.jpg
26,24,master/1269_0025.tif,web/1269_0025_web.jpg,thumb/1269_0025_thumb.jpg
27,25,master/1269_0026.tif,web/1269_0026_web.jpg,thumb/1269_0026_thumb.jpg
28,26,master/1269_0027.tif,web/1269_0027_web.jpg,thumb/1269_0027_thumb.jpg
29,27,master/1269_0028.tif,web/1269_0028_web.jpg,thumb/1269_0028_thumb.jpg
30,28,master/1269_0029.tif,web/1269_0029_web.jpg,thumb/1269_0029_thumb.jpg
31,29,master/1269_0030.tif,web/1269_0030_web.jpg,thumb/1269_0030_thumb.jpg
32,30,master/1269_0031.tif,web/1269_0031_web.jpg,thumb/1269_0031_thumb.jpg
33,31,master/1269_0032.tif,web/1269_0032_web.jpg,thumb/1269_0032_thumb.jpg
34,32,master/1269_0033.tif,web/1269_0033_web.jpg,thumb/1269_0033_thumb.jpg
