postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Outside front cover,master/3142_0000.tif,web/3142_0000_web.jpg,thumb/3142_0000_thumb.jpg
2,Inside front cover,master/3142_0001.tif,web/3142_0001_web.jpg,thumb/3142_0001_thumb.jpg
3,1r,master/3142_0002.tif,web/3142_0002_web.jpg,thumb/3142_0002_thumb.jpg
4,1v,master/3142_0003.tif,web/3142_0003_web.jpg,thumb/3142_0003_thumb.jpg
5,2r,master/3142_0004.tif,web/3142_0004_web.jpg,thumb/3142_0004_thumb.jpg
6,2v,master/3142_0005.tif,web/3142_0005_web.jpg,thumb/3142_0005_thumb.jpg
7,3r,master/3142_0006.tif,web/3142_0006_web.jpg,thumb/3142_0006_thumb.jpg
8,3v,master/3142_0007.tif,web/3142_0007_web.jpg,thumb/3142_0007_thumb.jpg
9,4r,master/3142_0008.tif,web/3142_0008_web.jpg,thumb/3142_0008_thumb.jpg
10,4v,master/3142_0009.tif,web/3142_0009_web.jpg,thumb/3142_0009_thumb.jpg
11,5r,master/3142_0010.tif,web/3142_0010_web.jpg,thumb/3142_0010_thumb.jpg
12,5v,master/3142_0011.tif,web/3142_0011_web.jpg,thumb/3142_0011_thumb.jpg
13,6r,master/3142_0012.tif,web/3142_0012_web.jpg,thumb/3142_0012_thumb.jpg
14,6v,master/3142_0013.tif,web/3142_0013_web.jpg,thumb/3142_0013_thumb.jpg
15,7r,master/3142_0014.tif,web/3142_0014_web.jpg,thumb/3142_0014_thumb.jpg
16,7v,master/3142_0015.tif,web/3142_0015_web.jpg,thumb/3142_0015_thumb.jpg
17,8r,master/3142_0016.tif,web/3142_0016_web.jpg,thumb/3142_0016_thumb.jpg
18,8v,master/3142_0017.tif,web/3142_0017_web.jpg,thumb/3142_0017_thumb.jpg
19,9r,master/3142_0018.tif,web/3142_0018_web.jpg,thumb/3142_0018_thumb.jpg
20,9v,master/3142_0019.tif,web/3142_0019_web.jpg,thumb/3142_0019_thumb.jpg
21,10r,master/3142_0020.tif,web/3142_0020_web.jpg,thumb/3142_0020_thumb.jpg
22,10v,master/3142_0021.tif,web/3142_0021_web.jpg,thumb/3142_0021_thumb.jpg
23,11r,master/3142_0022.tif,web/3142_0022_web.jpg,thumb/3142_0022_thumb.jpg
24,11v,master/3142_0023.tif,web/3142_0023_web.jpg,thumb/3142_0023_thumb.jpg
25,12r,master/3142_0024.tif,web/3142_0024_web.jpg,thumb/3142_0024_thumb.jpg
26,12v,master/3142_0025.tif,web/3142_0025_web.jpg,thumb/3142_0025_thumb.jpg
27,13r,master/3142_0026.tif,web/3142_0026_web.jpg,thumb/3142_0026_thumb.jpg
28,13v,master/3142_0027.tif,web/3142_0027_web.jpg,thumb/3142_0027_thumb.jpg
29,14r,master/3142_0028.tif,web/3142_0028_web.jpg,thumb/3142_0028_thumb.jpg
30,14v,master/3142_0029.tif,web/3142_0029_web.jpg,thumb/3142_0029_thumb.jpg
31,15r,master/3142_0030.tif,web/3142_0030_web.jpg,thumb/3142_0030_thumb.jpg
32,15v,master/3142_0031.tif,web/3142_0031_web.jpg,thumb/3142_0031_thumb.jpg
33,16r,master/3142_0032.tif,web/3142_0032_web.jpg,thumb/3142_0032_thumb.jpg
34,16v,master/3142_0033.tif,web/3142_0033_web.jpg,thumb/3142_0033_thumb.jpg
35,17r,master/3142_0034.tif,web/3142_0034_web.jpg,thumb/3142_0034_thumb.jpg
36,17v,master/3142_0035.tif,web/3142_0035_web.jpg,thumb/3142_0035_thumb.jpg
37,18r,master/3142_0036.tif,web/3142_0036_web.jpg,thumb/3142_0036_thumb.jpg
38,18v,master/3142_0037.tif,web/3142_0037_web.jpg,thumb/3142_0037_thumb.jpg
39,19r,master/3142_0038.tif,web/3142_0038_web.jpg,thumb/3142_0038_thumb.jpg
40,19v,master/3142_0039.tif,web/3142_0039_web.jpg,thumb/3142_0039_thumb.jpg
41,20r,master/3142_0040.tif,web/3142_0040_web.jpg,thumb/3142_0040_thumb.jpg
42,20v,master/3142_0041.tif,web/3142_0041_web.jpg,thumb/3142_0041_thumb.jpg
43,21r,master/3142_0042.tif,web/3142_0042_web.jpg,thumb/3142_0042_thumb.jpg
44,21v,master/3142_0043.tif,web/3142_0043_web.jpg,thumb/3142_0043_thumb.jpg
45,22r,master/3142_0044.tif,web/3142_0044_web.jpg,thumb/3142_0044_thumb.jpg
46,22v,master/3142_0045.tif,web/3142_0045_web.jpg,thumb/3142_0045_thumb.jpg
47,23r,master/3142_0046.tif,web/3142_0046_web.jpg,thumb/3142_0046_thumb.jpg
48,23v,master/3142_0047.tif,web/3142_0047_web.jpg,thumb/3142_0047_thumb.jpg
49,24r,master/3142_0048.tif,web/3142_0048_web.jpg,thumb/3142_0048_thumb.jpg
50,24v,master/3142_0049.tif,web/3142_0049_web.jpg,thumb/3142_0049_thumb.jpg
51,25r,master/3142_0050.tif,web/3142_0050_web.jpg,thumb/3142_0050_thumb.jpg
52,25v,master/3142_0051.tif,web/3142_0051_web.jpg,thumb/3142_0051_thumb.jpg
53,26r,master/3142_0052.tif,web/3142_0052_web.jpg,thumb/3142_0052_thumb.jpg
54,26v,master/3142_0053.tif,web/3142_0053_web.jpg,thumb/3142_0053_thumb.jpg
55,27r,master/3142_0054.tif,web/3142_0054_web.jpg,thumb/3142_0054_thumb.jpg
56,27v,master/3142_0055.tif,web/3142_0055_web.jpg,thumb/3142_0055_thumb.jpg
57,28r,master/3142_0056.tif,web/3142_0056_web.jpg,thumb/3142_0056_thumb.jpg
58,28v,master/3142_0057.tif,web/3142_0057_web.jpg,thumb/3142_0057_thumb.jpg
59,29r,master/3142_0058.tif,web/3142_0058_web.jpg,thumb/3142_0058_thumb.jpg
60,29v,master/3142_0059.tif,web/3142_0059_web.jpg,thumb/3142_0059_thumb.jpg
61,30r,master/3142_0060.tif,web/3142_0060_web.jpg,thumb/3142_0060_thumb.jpg
62,30v,master/3142_0061.tif,web/3142_0061_web.jpg,thumb/3142_0061_thumb.jpg
63,31r,master/3142_0062.tif,web/3142_0062_web.jpg,thumb/3142_0062_thumb.jpg
64,31v,master/3142_0063.tif,web/3142_0063_web.jpg,thumb/3142_0063_thumb.jpg
65,32r,master/3142_0064.tif,web/3142_0064_web.jpg,thumb/3142_0064_thumb.jpg
66,32v,master/3142_0065.tif,web/3142_0065_web.jpg,thumb/3142_0065_thumb.jpg
67,33r,master/3142_0066.tif,web/3142_0066_web.jpg,thumb/3142_0066_thumb.jpg
68,33v,master/3142_0067.tif,web/3142_0067_web.jpg,thumb/3142_0067_thumb.jpg
69,34r,master/3142_0068.tif,web/3142_0068_web.jpg,thumb/3142_0068_thumb.jpg
70,34v,master/3142_0069.tif,web/3142_0069_web.jpg,thumb/3142_0069_thumb.jpg
71,35r,master/3142_0070.tif,web/3142_0070_web.jpg,thumb/3142_0070_thumb.jpg
72,35v,master/3142_0071.tif,web/3142_0071_web.jpg,thumb/3142_0071_thumb.jpg
73,36r,master/3142_0072.tif,web/3142_0072_web.jpg,thumb/3142_0072_thumb.jpg
74,36v,master/3142_0073.tif,web/3142_0073_web.jpg,thumb/3142_0073_thumb.jpg
75,37r,master/3142_0074.tif,web/3142_0074_web.jpg,thumb/3142_0074_thumb.jpg
76,37v,master/3142_0075.tif,web/3142_0075_web.jpg,thumb/3142_0075_thumb.jpg
77,38r,master/3142_0076.tif,web/3142_0076_web.jpg,thumb/3142_0076_thumb.jpg
78,38v,master/3142_0077.tif,web/3142_0077_web.jpg,thumb/3142_0077_thumb.jpg
79,39r,master/3142_0078.tif,web/3142_0078_web.jpg,thumb/3142_0078_thumb.jpg
80,39v,master/3142_0079.tif,web/3142_0079_web.jpg,thumb/3142_0079_thumb.jpg
81,40r,master/3142_0080.tif,web/3142_0080_web.jpg,thumb/3142_0080_thumb.jpg
82,40v,master/3142_0081.tif,web/3142_0081_web.jpg,thumb/3142_0081_thumb.jpg
83,41r,master/3142_0082.tif,web/3142_0082_web.jpg,thumb/3142_0082_thumb.jpg
84,41v,master/3142_0083.tif,web/3142_0083_web.jpg,thumb/3142_0083_thumb.jpg
85,42r,master/3142_0084.tif,web/3142_0084_web.jpg,thumb/3142_0084_thumb.jpg
86,42v,master/3142_0085.tif,web/3142_0085_web.jpg,thumb/3142_0085_thumb.jpg
87,43r,master/3142_0086.tif,web/3142_0086_web.jpg,thumb/3142_0086_thumb.jpg
88,43v,master/3142_0087.tif,web/3142_0087_web.jpg,thumb/3142_0087_thumb.jpg
89,44r,master/3142_0088.tif,web/3142_0088_web.jpg,thumb/3142_0088_thumb.jpg
90,44v,master/3142_0089.tif,web/3142_0089_web.jpg,thumb/3142_0089_thumb.jpg
91,45r,master/3142_0090.tif,web/3142_0090_web.jpg,thumb/3142_0090_thumb.jpg
92,45v,master/3142_0091.tif,web/3142_0091_web.jpg,thumb/3142_0091_thumb.jpg
93,46r,master/3142_0092.tif,web/3142_0092_web.jpg,thumb/3142_0092_thumb.jpg
94,46v,master/3142_0093.tif,web/3142_0093_web.jpg,thumb/3142_0093_thumb.jpg
95,47r,master/3142_0094.tif,web/3142_0094_web.jpg,thumb/3142_0094_thumb.jpg
96,47v,master/3142_0095.tif,web/3142_0095_web.jpg,thumb/3142_0095_thumb.jpg
97,48r,master/3142_0096.tif,web/3142_0096_web.jpg,thumb/3142_0096_thumb.jpg
98,48v,master/3142_0097.tif,web/3142_0097_web.jpg,thumb/3142_0097_thumb.jpg
99,49r,master/3142_0098.tif,web/3142_0098_web.jpg,thumb/3142_0098_thumb.jpg
100,49v,master/3142_0099.tif,web/3142_0099_web.jpg,thumb/3142_0099_thumb.jpg
101,50r,master/3142_0100.tif,web/3142_0100_web.jpg,thumb/3142_0100_thumb.jpg
102,50v,master/3142_0101.tif,web/3142_0101_web.jpg,thumb/3142_0101_thumb.jpg
103,Unlabeled,master/3142_0102.tif,web/3142_0102_web.jpg,thumb/3142_0102_thumb.jpg
