postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/4868_0000.tif,web/4868_0000_web.jpg,thumb/4868_0000_thumb.jpg
2,Inside front cover,master/4868_0001.tif,web/4868_0001_web.jpg,thumb/4868_0001_thumb.jpg
3,Flyleaf 1 recto,master/4868_0002.tif,web/4868_0002_web.jpg,thumb/4868_0002_thumb.jpg
4,Flyleaf 1 verso,master/4868_0003.tif,web/4868_0003_web.jpg,thumb/4868_0003_thumb.jpg
5,Flyleaf 2 recto,master/4868_0004.tif,web/4868_0004_web.jpg,thumb/4868_0004_thumb.jpg
6,Flyleaf 2 verso,master/4868_0005.tif,web/4868_0005_web.jpg,thumb/4868_0005_thumb.jpg
7,Flyleaf 3 recto,master/4868_0006.tif,web/4868_0006_web.jpg,thumb/4868_0006_thumb.jpg
8,Flyleaf 3 verso,master/4868_0007.tif,web/4868_0007_web.jpg,thumb/4868_0007_thumb.jpg
9,Flyleaf 4 recto,master/4868_0008.tif,web/4868_0008_web.jpg,thumb/4868_0008_thumb.jpg
10,Flyleaf 4 verso,master/4868_0009.tif,web/4868_0009_web.jpg,thumb/4868_0009_thumb.jpg
11,Flyleaf 5 recto,master/4868_0010.tif,web/4868_0010_web.jpg,thumb/4868_0010_thumb.jpg
12,Flyleaf 5 verso,master/4868_0011.tif,web/4868_0011_web.jpg,thumb/4868_0011_thumb.jpg
13,Flyleaf 6 recto,master/4868_0012.tif,web/4868_0012_web.jpg,thumb/4868_0012_thumb.jpg
14,Flyleaf 6 verso,master/4868_0013.tif,web/4868_0013_web.jpg,thumb/4868_0013_thumb.jpg
15,Flyleaf 7 recto,master/4868_0014.tif,web/4868_0014_web.jpg,thumb/4868_0014_thumb.jpg
16,Flyleaf 7 verso,master/4868_0015.tif,web/4868_0015_web.jpg,thumb/4868_0015_thumb.jpg
17,1r,master/4868_0016.tif,web/4868_0016_web.jpg,thumb/4868_0016_thumb.jpg
18,1v,master/4868_0017.tif,web/4868_0017_web.jpg,thumb/4868_0017_thumb.jpg
19,2r,master/4868_0018.tif,web/4868_0018_web.jpg,thumb/4868_0018_thumb.jpg
20,2v,master/4868_0019.tif,web/4868_0019_web.jpg,thumb/4868_0019_thumb.jpg
21,3r,master/4868_0020.tif,web/4868_0020_web.jpg,thumb/4868_0020_thumb.jpg
22,3v,master/4868_0021.tif,web/4868_0021_web.jpg,thumb/4868_0021_thumb.jpg
23,4r,master/4868_0022.tif,web/4868_0022_web.jpg,thumb/4868_0022_thumb.jpg
24,4v,master/4868_0023.tif,web/4868_0023_web.jpg,thumb/4868_0023_thumb.jpg
25,5r,master/4868_0024.tif,web/4868_0024_web.jpg,thumb/4868_0024_thumb.jpg
26,5v,master/4868_0025.tif,web/4868_0025_web.jpg,thumb/4868_0025_thumb.jpg
27,6r,master/4868_0026.tif,web/4868_0026_web.jpg,thumb/4868_0026_thumb.jpg
