postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/2436_0000.tif,web/2436_0000_web.jpg,thumb/2436_0000_thumb.jpg
2,Inside front cover,master/2436_0001.tif,web/2436_0001_web.jpg,thumb/2436_0001_thumb.jpg
3,Flyleaf 1 recto,master/2436_0002.tif,web/2436_0002_web.jpg,thumb/2436_0002_thumb.jpg
4,Flyleaf 1 verso,master/2436_0003.tif,web/2436_0003_web.jpg,thumb/2436_0003_thumb.jpg
5,i recto,master/2436_0004.tif,web/2436_0004_web.jpg,thumb/2436_0004_thumb.jpg
6,i verso,master/2436_0005.tif,web/2436_0005_web.jpg,thumb/2436_0005_thumb.jpg
7,ii recto,master/2436_0006.tif,web/2436_0006_web.jpg,thumb/2436_0006_thumb.jpg
8,ii verso,master/2436_0007.tif,web/2436_0007_web.jpg,thumb/2436_0007_thumb.jpg
9,iii recto,master/2436_0008.tif,web/2436_0008_web.jpg,thumb/2436_0008_thumb.jpg
10,iii verso,master/2436_0009.tif,web/2436_0009_web.jpg,thumb/2436_0009_thumb.jpg
11,iv recto,master/2436_0010.tif,web/2436_0010_web.jpg,thumb/2436_0010_thumb.jpg
12,iv verso,master/2436_0011.tif,web/2436_0011_web.jpg,thumb/2436_0011_thumb.jpg
13,1r,master/2436_0012.tif,web/2436_0012_web.jpg,thumb/2436_0012_thumb.jpg
14,1v,master/2436_0013.tif,web/2436_0013_web.jpg,thumb/2436_0013_thumb.jpg
15,2r,master/2436_0014.tif,web/2436_0014_web.jpg,thumb/2436_0014_thumb.jpg
16,2v,master/2436_0015.tif,web/2436_0015_web.jpg,thumb/2436_0015_thumb.jpg
17,3r,master/2436_0016.tif,web/2436_0016_web.jpg,thumb/2436_0016_thumb.jpg
18,3v,master/2436_0017.tif,web/2436_0017_web.jpg,thumb/2436_0017_thumb.jpg
19,4r,master/2436_0018.tif,web/2436_0018_web.jpg,thumb/2436_0018_thumb.jpg
20,4v,master/2436_0019.tif,web/2436_0019_web.jpg,thumb/2436_0019_thumb.jpg
21,5r,master/2436_0020.tif,web/2436_0020_web.jpg,thumb/2436_0020_thumb.jpg
22,5v,master/2436_0021.tif,web/2436_0021_web.jpg,thumb/2436_0021_thumb.jpg
23,6r,master/2436_0022.tif,web/2436_0022_web.jpg,thumb/2436_0022_thumb.jpg
24,6v,master/2436_0023.tif,web/2436_0023_web.jpg,thumb/2436_0023_thumb.jpg
25,7r,master/2436_0024.tif,web/2436_0024_web.jpg,thumb/2436_0024_thumb.jpg
26,7v,master/2436_0025.tif,web/2436_0025_web.jpg,thumb/2436_0025_thumb.jpg
27,8r,master/2436_0026.tif,web/2436_0026_web.jpg,thumb/2436_0026_thumb.jpg
28,8v,master/2436_0027.tif,web/2436_0027_web.jpg,thumb/2436_0027_thumb.jpg
29,9r,master/2436_0028.tif,web/2436_0028_web.jpg,thumb/2436_0028_thumb.jpg
30,9v,master/2436_0029.tif,web/2436_0029_web.jpg,thumb/2436_0029_thumb.jpg
31,10r,master/2436_0030.tif,web/2436_0030_web.jpg,thumb/2436_0030_thumb.jpg
32,10v,master/2436_0031.tif,web/2436_0031_web.jpg,thumb/2436_0031_thumb.jpg
33,11r,master/2436_0032.tif,web/2436_0032_web.jpg,thumb/2436_0032_thumb.jpg
34,11v,master/2436_0033.tif,web/2436_0033_web.jpg,thumb/2436_0033_thumb.jpg
35,12r,master/2436_0034.tif,web/2436_0034_web.jpg,thumb/2436_0034_thumb.jpg
36,12v,master/2436_0035.tif,web/2436_0035_web.jpg,thumb/2436_0035_thumb.jpg
37,13r,master/2436_0036.tif,web/2436_0036_web.jpg,thumb/2436_0036_thumb.jpg
38,13v,master/2436_0037.tif,web/2436_0037_web.jpg,thumb/2436_0037_thumb.jpg
39,14r,master/2436_0038.tif,web/2436_0038_web.jpg,thumb/2436_0038_thumb.jpg
40,14v,master/2436_0039.tif,web/2436_0039_web.jpg,thumb/2436_0039_thumb.jpg
41,15r,master/2436_0040.tif,web/2436_0040_web.jpg,thumb/2436_0040_thumb.jpg
42,15v,master/2436_0041.tif,web/2436_0041_web.jpg,thumb/2436_0041_thumb.jpg
43,16r,master/2436_0042.tif,web/2436_0042_web.jpg,thumb/2436_0042_thumb.jpg
44,16v,master/2436_0043.tif,web/2436_0043_web.jpg,thumb/2436_0043_thumb.jpg
45,17r,master/2436_0044.tif,web/2436_0044_web.jpg,thumb/2436_0044_thumb.jpg
46,17v,master/2436_0045.tif,web/2436_0045_web.jpg,thumb/2436_0045_thumb.jpg
47,18r,master/2436_0046.tif,web/2436_0046_web.jpg,thumb/2436_0046_thumb.jpg
48,18v,master/2436_0047.tif,web/2436_0047_web.jpg,thumb/2436_0047_thumb.jpg
49,19r,master/2436_0048.tif,web/2436_0048_web.jpg,thumb/2436_0048_thumb.jpg
50,19v,master/2436_0049.tif,web/2436_0049_web.jpg,thumb/2436_0049_thumb.jpg
51,20r,master/2436_0050.tif,web/2436_0050_web.jpg,thumb/2436_0050_thumb.jpg
52,20v,master/2436_0051.tif,web/2436_0051_web.jpg,thumb/2436_0051_thumb.jpg
53,21r,master/2436_0052.tif,web/2436_0052_web.jpg,thumb/2436_0052_thumb.jpg
54,21v,master/2436_0053.tif,web/2436_0053_web.jpg,thumb/2436_0053_thumb.jpg
55,22r,master/2436_0054.tif,web/2436_0054_web.jpg,thumb/2436_0054_thumb.jpg
56,22v,master/2436_0055.tif,web/2436_0055_web.jpg,thumb/2436_0055_thumb.jpg
57,23r,master/2436_0056.tif,web/2436_0056_web.jpg,thumb/2436_0056_thumb.jpg
58,23v,master/2436_0057.tif,web/2436_0057_web.jpg,thumb/2436_0057_thumb.jpg
59,24r,master/2436_0058.tif,web/2436_0058_web.jpg,thumb/2436_0058_thumb.jpg
60,24v,master/2436_0059.tif,web/2436_0059_web.jpg,thumb/2436_0059_thumb.jpg
61,25r,master/2436_0060.tif,web/2436_0060_web.jpg,thumb/2436_0060_thumb.jpg
62,25v,master/2436_0061.tif,web/2436_0061_web.jpg,thumb/2436_0061_thumb.jpg
63,26r,master/2436_0062.tif,web/2436_0062_web.jpg,thumb/2436_0062_thumb.jpg
64,26v,master/2436_0063.tif,web/2436_0063_web.jpg,thumb/2436_0063_thumb.jpg
65,27r,master/2436_0064.tif,web/2436_0064_web.jpg,thumb/2436_0064_thumb.jpg
66,27v,master/2436_0065.tif,web/2436_0065_web.jpg,thumb/2436_0065_thumb.jpg
67,28r,master/2436_0066.tif,web/2436_0066_web.jpg,thumb/2436_0066_thumb.jpg
68,28v,master/2436_0067.tif,web/2436_0067_web.jpg,thumb/2436_0067_thumb.jpg
69,29r,master/2436_0068.tif,web/2436_0068_web.jpg,thumb/2436_0068_thumb.jpg
70,29v,master/2436_0069.tif,web/2436_0069_web.jpg,thumb/2436_0069_thumb.jpg
71,30r,master/2436_0070.tif,web/2436_0070_web.jpg,thumb/2436_0070_thumb.jpg
72,30v,master/2436_0071.tif,web/2436_0071_web.jpg,thumb/2436_0071_thumb.jpg
73,31r,master/2436_0072.tif,web/2436_0072_web.jpg,thumb/2436_0072_thumb.jpg
74,31v,master/2436_0073.tif,web/2436_0073_web.jpg,thumb/2436_0073_thumb.jpg
75,32r,master/2436_0074.tif,web/2436_0074_web.jpg,thumb/2436_0074_thumb.jpg
76,32v,master/2436_0075.tif,web/2436_0075_web.jpg,thumb/2436_0075_thumb.jpg
77,33r,master/2436_0076.tif,web/2436_0076_web.jpg,thumb/2436_0076_thumb.jpg
78,33v,master/2436_0077.tif,web/2436_0077_web.jpg,thumb/2436_0077_thumb.jpg
79,34r,master/2436_0078.tif,web/2436_0078_web.jpg,thumb/2436_0078_thumb.jpg
80,34v,master/2436_0079.tif,web/2436_0079_web.jpg,thumb/2436_0079_thumb.jpg
81,35r,master/2436_0080.tif,web/2436_0080_web.jpg,thumb/2436_0080_thumb.jpg
82,35v,master/2436_0081.tif,web/2436_0081_web.jpg,thumb/2436_0081_thumb.jpg
83,36r,master/2436_0082.tif,web/2436_0082_web.jpg,thumb/2436_0082_thumb.jpg
84,36v,master/2436_0083.tif,web/2436_0083_web.jpg,thumb/2436_0083_thumb.jpg
85,37r,master/2436_0084.tif,web/2436_0084_web.jpg,thumb/2436_0084_thumb.jpg
86,37v,master/2436_0085.tif,web/2436_0085_web.jpg,thumb/2436_0085_thumb.jpg
87,38r,master/2436_0086.tif,web/2436_0086_web.jpg,thumb/2436_0086_thumb.jpg
88,38v,master/2436_0087.tif,web/2436_0087_web.jpg,thumb/2436_0087_thumb.jpg
89,39r,master/2436_0088.tif,web/2436_0088_web.jpg,thumb/2436_0088_thumb.jpg
90,39v,master/2436_0089.tif,web/2436_0089_web.jpg,thumb/2436_0089_thumb.jpg
91,40r,master/2436_0090.tif,web/2436_0090_web.jpg,thumb/2436_0090_thumb.jpg
92,40v,master/2436_0091.tif,web/2436_0091_web.jpg,thumb/2436_0091_thumb.jpg
93,41r,master/2436_0092.tif,web/2436_0092_web.jpg,thumb/2436_0092_thumb.jpg
94,41v,master/2436_0093.tif,web/2436_0093_web.jpg,thumb/2436_0093_thumb.jpg
95,42r,master/2436_0094.tif,web/2436_0094_web.jpg,thumb/2436_0094_thumb.jpg
96,42v,master/2436_0095.tif,web/2436_0095_web.jpg,thumb/2436_0095_thumb.jpg
97,43r,master/2436_0096.tif,web/2436_0096_web.jpg,thumb/2436_0096_thumb.jpg
98,43v,master/2436_0097.tif,web/2436_0097_web.jpg,thumb/2436_0097_thumb.jpg
99,44r,master/2436_0098.tif,web/2436_0098_web.jpg,thumb/2436_0098_thumb.jpg
100,44v,master/2436_0099.tif,web/2436_0099_web.jpg,thumb/2436_0099_thumb.jpg
101,45r,master/2436_0100.tif,web/2436_0100_web.jpg,thumb/2436_0100_thumb.jpg
102,45v,master/2436_0101.tif,web/2436_0101_web.jpg,thumb/2436_0101_thumb.jpg
103,46r,master/2436_0102.tif,web/2436_0102_web.jpg,thumb/2436_0102_thumb.jpg
104,46v,master/2436_0103.tif,web/2436_0103_web.jpg,thumb/2436_0103_thumb.jpg
105,47r,master/2436_0104.tif,web/2436_0104_web.jpg,thumb/2436_0104_thumb.jpg
106,47v,master/2436_0105.tif,web/2436_0105_web.jpg,thumb/2436_0105_thumb.jpg
107,48r,master/2436_0106.tif,web/2436_0106_web.jpg,thumb/2436_0106_thumb.jpg
108,48v,master/2436_0107.tif,web/2436_0107_web.jpg,thumb/2436_0107_thumb.jpg
