postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/6823_0000.tif,web/6823_0000_web.jpg,thumb/6823_0000_thumb.jpg
2,Inside front cover,master/6823_0001.tif,web/6823_0001_web.jpg,thumb/6823_0001_thumb.jpg
3,ia,master/6823_0002.tif,web/6823_0002_web.jpg,thumb/6823_0002_thumb.jpg
4,ib,master/6823_0003.tif,web/6823_0003_web.jpg,thumb/6823_0003_thumb.jpg
5,1a,master/6823_0004.tif,web/6823_0004_web.jpg,thumb/6823_0004_thumb.jpg
6,1b,master/6823_0005.tif,web/6823_0005_web.jpg,thumb/6823_0005_thumb.jpg
7,2a,master/6823_0006.tif,web/6823_0006_web.jpg,thumb/6823_0006_thumb.jpg
8,2b,master/6823_0007.tif,web/6823_0007_web.jpg,thumb/6823_0007_thumb.jpg
9,3a,master/6823_0008.tif,web/6823_0008_web.jpg,thumb/6823_0008_thumb.jpg
10,3b,master/6823_0009.tif,web/6823_0009_web.jpg,thumb/6823_0009_thumb.jpg
11,4a,master/6823_0010.tif,web/6823_0010_web.jpg,thumb/6823_0010_thumb.jpg
12,4b,master/6823_0011.tif,web/6823_0011_web.jpg,thumb/6823_0011_thumb.jpg
13,5a,master/6823_0012.tif,web/6823_0012_web.jpg,thumb/6823_0012_thumb.jpg
14,5b,master/6823_0013.tif,web/6823_0013_web.jpg,thumb/6823_0013_thumb.jpg
15,6a,master/6823_0014.tif,web/6823_0014_web.jpg,thumb/6823_0014_thumb.jpg
16,6b,master/6823_0015.tif,web/6823_0015_web.jpg,thumb/6823_0015_thumb.jpg
17,7a,master/6823_0016.tif,web/6823_0016_web.jpg,thumb/6823_0016_thumb.jpg
18,7b,master/6823_0017.tif,web/6823_0017_web.jpg,thumb/6823_0017_thumb.jpg
19,8a,master/6823_0018.tif,web/6823_0018_web.jpg,thumb/6823_0018_thumb.jpg
20,8b,master/6823_0019.tif,web/6823_0019_web.jpg,thumb/6823_0019_thumb.jpg
21,9a,master/6823_0020.tif,web/6823_0020_web.jpg,thumb/6823_0020_thumb.jpg
22,9b,master/6823_0021.tif,web/6823_0021_web.jpg,thumb/6823_0021_thumb.jpg
23,10a,master/6823_0022.tif,web/6823_0022_web.jpg,thumb/6823_0022_thumb.jpg
24,10b,master/6823_0023.tif,web/6823_0023_web.jpg,thumb/6823_0023_thumb.jpg
25,11a,master/6823_0024.tif,web/6823_0024_web.jpg,thumb/6823_0024_thumb.jpg
26,11b,master/6823_0025.tif,web/6823_0025_web.jpg,thumb/6823_0025_thumb.jpg
27,12a,master/6823_0026.tif,web/6823_0026_web.jpg,thumb/6823_0026_thumb.jpg
28,12b,master/6823_0027.tif,web/6823_0027_web.jpg,thumb/6823_0027_thumb.jpg
29,13a,master/6823_0028.tif,web/6823_0028_web.jpg,thumb/6823_0028_thumb.jpg
30,13b,master/6823_0029.tif,web/6823_0029_web.jpg,thumb/6823_0029_thumb.jpg
31,14a,master/6823_0030.tif,web/6823_0030_web.jpg,thumb/6823_0030_thumb.jpg
