postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/9474_0000.tif,web/9474_0000_web.jpg,thumb/9474_0000_thumb.jpg
2,p. 1,master/9474_0001.tif,web/9474_0001_web.jpg,thumb/9474_0001_thumb.jpg
3,p. 2-3,master/9474_0002.tif,web/9474_0002_web.jpg,thumb/9474_0002_thumb.jpg
4,p. 4-5,master/9474_0003.tif,web/9474_0003_web.jpg,thumb/9474_0003_thumb.jpg
5,p. 6-7,master/9474_0004.tif,web/9474_0004_web.jpg,thumb/9474_0004_thumb.jpg
6,p. 8-9,master/9474_0005.tif,web/9474_0005_web.jpg,thumb/9474_0005_thumb.jpg
7,p. 10-11,master/9474_0006.tif,web/9474_0006_web.jpg,thumb/9474_0006_thumb.jpg
8,p. 12-13,master/9474_0007.tif,web/9474_0007_web.jpg,thumb/9474_0007_thumb.jpg
9,p. 14-15,master/9474_0008.tif,web/9474_0008_web.jpg,thumb/9474_0008_thumb.jpg
10,p. 16-17,master/9474_0009.tif,web/9474_0009_web.jpg,thumb/9474_0009_thumb.jpg
11,p. 18-19,master/9474_0010.tif,web/9474_0010_web.jpg,thumb/9474_0010_thumb.jpg
12,p. 20-21,master/9474_0011.tif,web/9474_0011_web.jpg,thumb/9474_0011_thumb.jpg
13,p. 22-23,master/9474_0012.tif,web/9474_0012_web.jpg,thumb/9474_0012_thumb.jpg
14,p. 24-25,master/9474_0013.tif,web/9474_0013_web.jpg,thumb/9474_0013_thumb.jpg
15,p. 26-27,master/9474_0014.tif,web/9474_0014_web.jpg,thumb/9474_0014_thumb.jpg
16,p. 28-29,master/9474_0015.tif,web/9474_0015_web.jpg,thumb/9474_0015_thumb.jpg
17,p. 30-31,master/9474_0016.tif,web/9474_0016_web.jpg,thumb/9474_0016_thumb.jpg
18,p. 32-33,master/9474_0017.tif,web/9474_0017_web.jpg,thumb/9474_0017_thumb.jpg
19,p. 34-35,master/9474_0018.tif,web/9474_0018_web.jpg,thumb/9474_0018_thumb.jpg
20,p. 36-37,master/9474_0019.tif,web/9474_0019_web.jpg,thumb/9474_0019_thumb.jpg
21,p. 38-39,master/9474_0020.tif,web/9474_0020_web.jpg,thumb/9474_0020_thumb.jpg
22,p. 40-41,master/9474_0021.tif,web/9474_0021_web.jpg,thumb/9474_0021_thumb.jpg
23,p. 42-43,master/9474_0022.tif,web/9474_0022_web.jpg,thumb/9474_0022_thumb.jpg
24,p. 44-45,master/9474_0023.tif,web/9474_0023_web.jpg,thumb/9474_0023_thumb.jpg
