postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/1484_0000.tif,web/1484_0000_web.jpg,thumb/1484_0000_thumb.jpg
2,Inside front cover,master/1484_0001.tif,web/1484_0001_web.jpg,thumb/1484_0001_thumb.jpg
3,i recto,master/1484_0002.tif,web/1484_0002_web.jpg,thumb/1484_0002_thumb.jpg
4,i verso,master/1484_0003.tif,web/1484_0003_web.jpg,thumb/1484_0003_thumb.jpg
5,ii recto,master/1484_0004.tif,web/1484_0004_web.jpg,thumb/1484_0004_thumb.jpg
6,ii verso,master/1484_0005.tif,web/1484_0005_web.jpg,thumb/1484_0005_thumb.jpg
7,iii recto,master/1484_0006.tif,web/1484_0006_web.jpg,thumb/1484_0006_thumb.jpg
8,iii verso,master/1484_0007.tif,web/1484_0007_web.jpg,thumb/1484_0007_thumb.jpg
9,1r,master/1484_0008.tif,web/1484_0008_web.jpg,thumb/1484_0008_thumb.jpg
10,1v,master/1484_0009.tif,web/1484_0009_web.jpg,thumb/1484_0009_thumb.jpg
11,2r,master/1484_0010.tif,web/1484_0010_web.jpg,thumb/1484_0010_thumb.jpg
12,2v,master/1484_0011.tif,web/1484_0011_web.jpg,thumb/1484_0011_thumb.jpg
13,3r,master/1484_0012.tif,web/1484_0012_web.jpg,thumb/1484_0012_thumb.jpg
14,3v,master/1484_0013.tif,web/1484_0013_web.jpg,thumb/1484_0013_thumb.jpg
15,4r,master/1484_0014.tif,web/1484_0014_web.jpg,thumb/1484_0014_thumb.jpg
16,4v,master/1484_0015.tif,web/1484_0015_web.jpg,thumb/1484_0015_thumb.jpg
17,5r,master/1484_0016.tif,web/1484_0016_web.jpg,thumb/1484_0016_thumb.jpg
18,5v,master/1484_0017.tif,web/1484_0017_web.jpg,thumb/1484_0017_thumb.jpg
19,6r,master/1484_0018.tif,web/1484_0018_web.jpg,thumb/1484_0018_thumb.jpg
20,6v,master/1484_0019.tif,web/1484_0019_web.jpg,thumb/1484_0019_thumb.jpg
21,7r,master/1484_0020.tif,web/1484_0020_web.jpg,thumb/1484_0020_thumb.jpg
22,7v,master/1484_0021.tif,web/1484_0021_web.jpg,thumb/1484_0021_thumb.jpg
23,8r,master/1484_0022.tif,web/1484_0022_web.jpg,thumb/1484_0022_thumb.jpg
24,8v,master/1484_0023.tif,web/1484_0023_web.jpg,thumb/1484_0023_thumb.jpg
25,9r,master/1484_0024.tif,web/1484_0024_web.jpg,thumb/1484_0024_thumb.jpg
26,9v,master/1484_0025.tif,web/1484_0025_web.jpg,thumb/1484_0025_thumb.jpg
27,10r,master/1484_0026.tif,web/1484_0026_web.jpg,thumb/1484_0026_thumb.jpg
28,10v,master/1484_0027.tif,web/1484_0027_web.jpg,thumb/1484_0027_thumb.jpg
29,11r,master/1484_0028.tif,web/1484_0028_web.jpg,thumb/1484_0028_thumb.jpg
30,11v,master/1484_0029.tif,web/1484_0029_web.jpg,thumb/1484_0029_thumb.jpg
31,12r,master/1484_0030.tif,web/1484_0030_web.jpg,thumb/1484_0030_thumb.jpg
32,12v,master/1484_0031.tif,web/1484_0031_web.jpg,thumb/1484_0031_thumb.jpg
33,13r,master/1484_0032.tif,web/1484_0032_web.jpg,thumb/1484_0032_thumb.jpg
34,13v,master/1484_0033.tif,web/1484_0033_web.jpg,thumb/1484_0033_thumb.jpg
35,14r,master/1484_0034.tif,web/1484_0034_web.jpg,thumb/1484_0034_thumb.jpg
36,14v,master/1484_0035.tif,web/1484_0035_web.jpg,thumb/1484_0035_thumb.jpg
37,15r,master/1484_0036.tif,web/1484_0036_web.jpg,thumb/1484_0036_thumb.jpg
38,15v,master/1484_0037.tif,web/1484_0037_web.jpg,thumb/1484_0037_thumb.jpg
39,16r,master/1484_0038.tif,web/1484_0038_web.jpg,thumb/1484_0038_thumb.jpg
40,16v,master/1484_0039.tif,web/1484_0039_web.jpg,thumb/1484_0039_thumb.jpg
41,17r,master/1484_0040.tif,web/1484_0040_web.jpg,thumb/1484_0040_thumb.jpg
42,17v,master/1484_0041.tif,web/1484_0041_web.jpg,thumb/1484_0041_thumb.jpg
43,18r,master/1484_0042.tif,web/1484_0042_web.jpg,thumb/1484_0042_thumb.jpg
44,18v,master/1484_0043.tif,web/1484_0043_web.jpg,thumb/1484_0043_thumb.jpg
45,19r,master/1484_0044.tif,web/1484_0044_web.jpg,thumb/1484_0044_thumb.jpg
46,19v,master/1484_0045.tif,web/1484_0045_web.jpg,thumb/1484_0045_thumb.jpg
47,20r,master/1484_0046.tif,web/1484_0046_web.jpg,thumb/1484_0046_thumb.jpg
48,20v,master/1484_0047.tif,web/1484_0047_web.jpg,thumb/1484_0047_thumb.jpg
49,21r,master/1484_0048.tif,web/1484_0048_web.jpg,thumb/1484_0048_thumb.jpg
50,21v,master/1484_0049.tif,web/1484_0049_web.jpg,thumb/1484_0049_thumb.jpg
51,22r,master/1484_0050.tif,web/1484_0050_web.jpg,thumb/1484_0050_thumb.jpg
52,22v,master/1484_0051.tif,web/1484_0051_web.jpg,thumb/1484_0051_thumb.jpg
53,23r,master/1484_0052.tif,web/1484_0052_web.jpg,thumb/1484_0052_thumb.jpg
54,23v,master/1484_0053.tif,web/1484_0053_web.jpg,thumb/1484_0053_thumb.jpg
55,24r,master/1484_0054.tif,web/1484_0054_web.jpg,thumb/1484_0054_thumb.jpg
56,24v,master/1484_0055.tif,web/1484_0055_web.jpg,thumb/1484_0055_thumb.jpg
57,25r,master/1484_0056.tif,web/1484_0056_web.jpg,thumb/1484_0056_thumb.jpg
58,25v,master/1484_0057.tif,web/1484_0057_web.jpg,thumb/1484_0057_thumb.jpg
59,26r,master/1484_0058.tif,web/1484_0058_web.jpg,thumb/1484_0058_thumb.jpg
60,26v,master/1484_0059.tif,web/1484_0059_web.jpg,thumb/1484_0059_thumb.jpg
61,27r,master/1484_0060.tif,web/1484_0060_web.jpg,thumb/1484_0060_thumb.jpg
62,27v,master/1484_0061.tif,web/1484_0061_web.jpg,thumb/1484_0061_thumb.jpg
63,28r,master/1484_0062.tif,web/1484_0062_web.jpg,thumb/1484_0062_thumb.jpg
64,28v,master/1484_0063.tif,web/1484_0063_web.jpg,thumb/1484_0063_thumb.jpg
65,29r,master/1484_0064.tif,web/1484_0064_web.jpg,thumb/1484_0064_thumb.jpg
66,29v,master/1484_0065.tif,web/1484_0065_web.jpg,thumb/1484_0065_thumb.jpg
67,30r,master/1484_0066.tif,web/1484_0066_web.jpg,thumb/1484_0066_thumb.jpg
68,30v,master/1484_0067.tif,web/1484_0067_web.jpg,thumb/1484_0067_thumb.jpg
69,31r,master/1484_0068.tif,web/1484_0068_web.jpg,thumb/1484_0068_thumb.jpg
70,31v,master/1484_0069.tif,web/1484_0069_web.jpg,thumb/1484_0069_thumb.jpg
71,32r,master/1484_0070.tif,web/1484_0070_web.jpg,thumb/1484_0070_thumb.jpg
72,32v,master/1484_0071.tif,web/1484_0071_web.jpg,thumb/1484_0071_thumb.jpg
73,33r,master/1484_0072.tif,web/1484_0072_web.jpg,thumb/1484_0072_thumb.jpg
74,33v,master/1484_0073.tif,web/1484_0073_web.jpg,thumb/1484_0073_thumb.jpg
75,34r,master/1484_0074.tif,web/1484_0074_web.jpg,thumb/1484_0074_thumb.jpg
76,34v,master/1484_0075.tif,web/1484_0075_web.jpg,thumb/1484_0075_thumb.jpg
77,35r,master/1484_0076.tif,web/1484_0076_web.jpg,thumb/1484_0076_thumb.jpg
78,35v,master/1484_0077.tif,web/1484_0077_web.jpg,thumb/1484_0077_thumb.jpg
79,36r,master/1484_0078.tif,web/1484_0078_web.jpg,thumb/1484_0078_thumb.jpg
80,36v,master/1484_0079.tif,web/1484_0079_web.jpg,thumb/1484_0079_thumb.jpg
81,37r,master/1484_0080.tif,web/1484_0080_web.jpg,thumb/1484_0080_thumb.jpg
82,37v,master/1484_0081.tif,web/1484_0081_web.jpg,thumb/1484_0081_thumb.jpg
83,38r,master/1484_0082.tif,web/1484_0082_web.jpg,thumb/1484_0082_thumb.jpg
84,38v,master/1484_0083.tif,web/1484_0083_web.jpg,thumb/1484_0083_thumb.jpg
85,39r,master/1484_0084.tif,web/1484_0084_web.jpg,thumb/1484_0084_thumb.jpg
86,39v,master/1484_0085.tif,web/1484_0085_web.jpg,thumb/1484_0085_thumb.jpg
87,40r,master/1484_0086.tif,web/1484_0086_web.jpg,thumb/1484_0086_thumb.jpg
88,40v,master/1484_0087.tif,web/1484_0087_web.jpg,thumb/1484_0087_thumb.jpg
89,41r,master/1484_0088.tif,web/1484_0088_web.jpg,thumb/1484_0088_thumb.jpg
90,41v,master/1484_0089.tif,web/1484_0089_web.jpg,thumb/1484_0089_thumb.jpg
91,42r,master/1484_0090.tif,web/1484_0090_web.jpg,thumb/1484_0090_thumb.jpg
92,42v,master/1484_0091.tif,web/1484_0091_web.jpg,thumb/1484_0091_thumb.jpg
93,43r,master/1484_0092.tif,web/1484_0092_web.jpg,thumb/1484_0092_thumb.jpg
94,43v,master/1484_0093.tif,web/1484_0093_web.jpg,thumb/1484_0093_thumb.jpg
95,44r,master/1484_0094.tif,web/1484_0094_web.jpg,thumb/1484_0094_thumb.jpg
96,44v,master/1484_0095.tif,web/1484_0095_web.jpg,thumb/1484_0095_thumb.jpg
97,45r,master/1484_0096.tif,web/1484_0096_web.jpg,thumb/1484_0096_thumb.jpg
98,45v,master/1484_0097.tif,web/1484_0097_web.jpg,thumb/1484_0097_thumb.jpg
99,46r,master/1484_0098.tif,web/1484_0098_web.jpg,thumb/1484_0098_thumb.jpg
100,46v,master/1484_0099.tif,web/1484_0099_web.jpg,thumb/1484_0099_thumb.jpg
101,47r,master/1484_0100.tif,web/1484_0100_web.jpg,thumb/1484_0100_thumb.jpg
102,47v,master/1484_0101.tif,web/1484_0101_web.jpg,thumb/1484_0101_thumb.jpg
103,48r,master/1484_0102.tif,web/1484_0102_web.jpg,thumb/1484_0102_thumb.jpg
104,48v,master/1484_0103.tif,web/1484_0103_web.jpg,thumb/1484_0103_thumb.jpg
105,49r,master/1484_0104.tif,web/1484_0104_web.jpg,thumb/1484_0104_thumb.jpg
106,49v,master/1484_0105.tif,web/1484_0105_web.jpg,thumb/1484_0105_thumb.jpg
107,50r,master/1484_0106.tif,web/1484_0106_web.jpg,thumb/1484_0106_thumb.jpg
108,50v,master/1484_0107.tif,web/1484_0107_web.jpg,thumb/1484_0107_thumb.jpg
109,51r,master/1484_0108.tif,web/1484_0108_web.jpg,thumb/1484_0108_thumb.jpg
110,51v,master/1484_0109.tif,web/1484_0109_web.jpg,thumb/1484_0109_thumb.jpg
111,52r,master/1484_0110.tif,web/1484_0110_web.jpg,thumb/1484_0110_thumb.jpg
112,52v,master/1484_0111.tif,web/1484_0111_web.jpg,thumb/1484_0111_thumb.jpg
113,53r,master/1484_0112.tif,web/1484_0112_web.jpg,thumb/1484_0112_thumb.jpg
114,53v,master/1484_0113.tif,web/1484_0113_web.jpg,thumb/1484_0113_thumb.jpg
115,54r,master/1484_0114.tif,web/1484_0114_web.jpg,thumb/1484_0114_thumb.jpg
116,54v,master/1484_0115.tif,web/1484_0115_web.jpg,thumb/1484_0115_thumb.jpg
117,55r,master/1484_0116.tif,web/1484_0116_web.jpg,thumb/1484_0116_thumb.jpg
118,55v,master/1484_0117.tif,web/1484_0117_web.jpg,thumb/1484_0117_thumb.jpg
119,56r,master/1484_0118.tif,web/1484_0118_web.jpg,thumb/1484_0118_thumb.jpg
120,56v,master/1484_0119.tif,web/1484_0119_web.jpg,thumb/1484_0119_thumb.jpg
121,57r,master/1484_0120.tif,web/1484_0120_web.jpg,thumb/1484_0120_thumb.jpg
122,57v,master/1484_0121.tif,web/1484_0121_web.jpg,thumb/1484_0121_thumb.jpg
123,58r,master/1484_0122.tif,web/1484_0122_web.jpg,thumb/1484_0122_thumb.jpg
124,58v,master/1484_0123.tif,web/1484_0123_web.jpg,thumb/1484_0123_thumb.jpg
125,59r,master/1484_0124.tif,web/1484_0124_web.jpg,thumb/1484_0124_thumb.jpg
126,59v,master/1484_0125.tif,web/1484_0125_web.jpg,thumb/1484_0125_thumb.jpg
127,60r,master/1484_0126.tif,web/1484_0126_web.jpg,thumb/1484_0126_thumb.jpg
128,60v,master/1484_0127.tif,web/1484_0127_web.jpg,thumb/1484_0127_thumb.jpg
129,61r,master/1484_0128.tif,web/1484_0128_web.jpg,thumb/1484_0128_thumb.jpg
130,61v,master/1484_0129.tif,web/1484_0129_web.jpg,thumb/1484_0129_thumb.jpg
131,62r,master/1484_0130.tif,web/1484_0130_web.jpg,thumb/1484_0130_thumb.jpg
132,62v,master/1484_0131.tif,web/1484_0131_web.jpg,thumb/1484_0131_thumb.jpg
133,63r,master/1484_0132.tif,web/1484_0132_web.jpg,thumb/1484_0132_thumb.jpg
134,63v,master/1484_0133.tif,web/1484_0133_web.jpg,thumb/1484_0133_thumb.jpg
135,64r,master/1484_0134.tif,web/1484_0134_web.jpg,thumb/1484_0134_thumb.jpg
136,64v,master/1484_0135.tif,web/1484_0135_web.jpg,thumb/1484_0135_thumb.jpg
137,65r,master/1484_0136.tif,web/1484_0136_web.jpg,thumb/1484_0136_thumb.jpg
138,65v,master/1484_0137.tif,web/1484_0137_web.jpg,thumb/1484_0137_thumb.jpg
